Graph;Genre;Ngraph;Nphon;FRtlf1;FRbaud;FRSdest;VIMdest
abat-jour;m;9;6;293;5;2.809999943;6.019999981
abbé;m;4;3;10176;53;1.860000014;5.039999962
abeille;f;7;4;1676;70;3.829999924;6.630000114
abîme;m;5;4;4598;9;2.230000019;3.089999914
abri;m;4;4;4250;13;3.319999933;5.840000153
abricot;m;7;6;195;0;2.660000086;5.840000153
absence;f;7;5;8495;63;4.909999847;3.430000067
accident;m;8;6;4216;84;5.510000229;5.860000134
accord;m;6;4;11082;172;4.230000019;2.859999895
accueil;m;7;4;1778;19;3.900000095;3.650000095
acte;m;4;4;0;107;3.619999886;3.210000038
activité;f;8;8;10967;211;5.519999981;4.119999886
actrice;f;7;6;-1;60;4.710000038;5.989999771
adaptation;f;10;9;1952;45;4.070000172;2.430000067
admiration;f;10;9;5058;33;3.680000067;3.019999981
adolescent;m;10;7;1901;48;5.519999981;5.769999981
adoration;f;9;8;1208;5;3.099999905;3.269999981
adulte;v;6;6;1939;82;5.989999771;5.889999866
affaire;f;7;4;25836;341;4.96999979;2.74000001
affiche;f;7;4;1310;18;4.230000019;6.070000172
âge;m;3;2;19518;206;6.110000134;3.609999895
agent;m;5;3;4335;92;3.75999999;4.650000095
agitation;f;9;8;2961;25;3.700000048;3.839999914
agneau;m;6;3;901;16;3.299999952;6.369999886
agrafe;f;6;5;195;2;3.25;6.230000019
agression;f;9;7;480;14;4.429999828;4.190000057
agressivité;f;11;10;438;15;3.950000048;4.099999905
agriculteur;m;11;10;246;5;3.059999943;5.849999905
aigle;v;5;4;1135;8;3.160000086;6.610000134
aiguille;f;8;5;2190;30;4.21999979;6.53000021
ail;m;3;2;404;1;4.039999962;5.989999771
aile;f;4;2;6883;59;3.74000001;6.349999905
air;m;3;2;58360;361;5.46999979;3.950000048
aise;f;4;2;4811;35;3.25999999;2.299999952
aisselle;f;8;4;446;6;3.069999933;5.650000095
alaise;f;6;4;-1;0;2.589999914;3.049999952
alcool;m;6;5;1969;48;5.519999981;5.989999771
alerte;f;6;6;838;8;3.650000095;3.630000114
alexandrin;m;10;9;540;1;1.809999943;3.460000038
allée;f;5;3;4688;17;3.700000048;5.519999981
alliance;f;8;5;2867;41;3.400000095;4.989999771
allumette;f;9;6;974;8;5.289999962;6.78000021
allure;f;6;4;3931;53;3.890000105;3.200000048
alouette;f;8;5;425;11;2.640000105;5.380000114
alphabet;m;8;6;348;7;4.260000229;5.769999981
amande;f;6;4;404;5;3.880000114;6.28000021
ambiance;f;8;5;914;23;4.070000172;2.99000001
ambiguïté;f;9;8;876;4;2.599999905;2.059999943
ambition;f;8;6;4484;30;4.690000057;2.980000019
âme;f;3;2;44096;134;3.390000105;2.690000057
amélioration;f;12;11;599;49;4.659999847;2.710000038
ami;m;3;3;47686;359;6.21999979;5.869999886
amitié;f;6;6;11703;60;5.360000134;4.420000076
amortisseur;m;11;9;21;1;2.440000057;4.190000057
amour;m;5;4;54285;347;6.230000019;4.559999943
amourette;f;9;6;148;0;2.339999914;3.450000048
amplificateur;m;13;11;34;3;3.190000057;5.590000153
amusement;m;9;6;1012;6;3.960000038;4.099999905
analyse;f;7;6;6747;71;4.360000134;2.609999895
anarchie;f;8;6;1169;9;2.069999933;2.559999943
anarchiste;v;10;9;1008;2;1.879999995;2.849999905
âne;m;3;2;2267;6;3.089999914;6.349999905
angoisse;f;8;5;10448;58;3.180000067;3.269999981
animal;m;6;6;13171;126;5.590000153;6.329999924
animateur;m;9;8;285;18;3.99000001;4.909999847
anneau;m;6;3;1382;26;4.21999979;6.559999943
année;f;5;3;32490;916;6.260000229;3.430000067
anniversaire;m;12;9;787;37;4.96999979;5.039999962
antenne;f;7;4;467;7;3.420000076;6.349999905
antiquaire;v;10;6;336;0;1.899999976;4.489999771
anxiété;f;7;7;1642;22;3.880000114;2.960000038
appareil;m;8;6;4543;207;4.739999771;4.820000172
apparence;f;9;6;11086;53;4.590000153;3.380000114
apparition;f;10;8;3816;51;3.019999981;3.00999999
appartement;m;11;8;4356;80;5.840000153;6.340000153
après-midi;v;10;8;9419;86;6.239999771;4.179999828
aquarelle;f;9;7;327;2;2.450000048;4.429999828
aquarium;m;8;8;310;22;3.400000095;6.570000172
arachide;f;8;6;46;2;3.609999895;6.650000095
araignée;f;8;5;1042;10;4.340000153;6.789999962
arbitre;m;7;7;1131;10;4.309999943;6.210000038
arbre;m;5;5;20625;142;5.340000153;6.800000191
arc;m;3;3;1633;17;3.119999886;6.28000021
archet;m;6;4;314;1;1.710000038;4.659999847
archipel;m;8;7;242;6;2.029999971;4.079999924
argent;m;6;4;19021;212;6.619999886;6.510000229
argument;m;8;6;3292;52;4.420000076;3.400000095
arme;f;4;4;9801;127;4.159999847;6.119999886
armée;f;5;4;32154;79;4.460000038;6.099999905
armoire;f;7;6;2667;27;5.190000057;6.449999809
arrêt;m;5;3;4479;63;5.389999866;5.670000076
art;m;3;2;24585;291;4.679999828;4.659999847
article;m;7;7;9172;172;4.539999962;4.690000057
articulation;f;12;11;710;8;3.460000038;3.880000114
artiste;v;7;7;10023;127;4.679999828;5.739999771
ascenseur;m;9;6;718;17;5.480000019;6.449999809
asile;m;5;4;1608;11;2.539999962;4.670000076
aspect;m;6;4;10252;122;3.819999933;2.160000086
assaisonnement;m;14;8;25;2;3.650000095;4.829999924
assiette;f;8;5;2790;33;6.360000134;6.849999905
association;f;11;9;2586;139;4.090000153;2.779999971
assurance;f;9;6;3446;93;4.670000076;3.680000067
atelier;m;7;6;2824;50;3.630000114;5.440000057
attache;f;7;4;753;5;4.309999943;4.71999979
attente;f;7;4;5905;41;4.179999828;3.130000114
attention;f;9;6;16723;146;5.679999828;2.720000029
attitude;f;8;6;11810;146;5.079999924;2.579999924
