Word;Word_english;Dom_Mn;Dom_SD;Dom_Mn_Fem;Dom_SD_Fem;Dom_Mn_Mal;Dom_SD_Mal;Fam_Mn;Fam_SD;Fam_Mn_Fem;Fam_SD_Fem;Fam_Mn_Mal;Fam_SD_Mal;SAoA_Mn;SAoA_SD;SAoA_Mn_Fem;SAoA_SD_Fem;SAoA_Mn_Mal;SAoA_SD_Mal;SERs_Mn;SERs_SD;SERs_Mn_Fem;SERs_SD_Fem;SERs_Mn_Mal;SERs_SD_Mal;;;
abandono;abandonment;4.31;2.58;4.50;2.76;4.00;2.34;4.78;2.39;4.40;2.35;5.42;2.43;6.73;2.07;6.62;1.99;7.00;2.35;3.67;1.73;3.48;1.54;4.11;2.15;;Word:;original word in spanish
abatir;to knock down;5.31;2.36;5.29;2.28;5.38;2.72;3.48;1.98;3.24;1.81;4.13;2.36;10.10;1.47;10.16;1.43;9.80;1.79;3.60;1.71;3.76;1.76;2.80;1.30;;Word_english:;words translated in english
abierto;open;4.13;2.28;3.85;2.23;4.58;2.39;6.69;1.99;6.55;1.79;6.92;2.35;3.33;1.83;3.38;1.66;3.22;2.28;3.23;2.03;2.86;1.98;4.11;1.96;;Dom_Mn:;mean dominance score for all subjects
abismo;abyss;6.43;2.50;6.10;2.57;7.10;2.33;4.40;2.08;4.30;1.95;4.60;2.41;9.17;2.17;9.48;1.83;9.13;1.81;4.64;1.92;5.00;1.96;4.00;1.51;;Dom_SD:;standard deviation of the dominance scores for all subjects
abrazar;to hug;5.31;2.62;5.10;2.72;5.73;2.49;7.63;1.58;7.67;1.68;7.55;1.44;3.40;3.25;3.72;3.47;1.80;0.84;5.83;1.42;5.68;1.49;6.60;0.55;;Dom_Mn_Fem:;mean dominance score for female subjects
abrazo;hug;6.25;2.57;6.40;2.78;6.00;2.26;7.78;1.41;7.70;1.38;7.92;1.51;2.73;1.46;2.48;0.98;3.33;2.18;5.40;1.57;5.52;1.66;5.11;1.36;;Dom_SD_Fem:;standard deviation of the dominance scores for female subjects
abroncar;to get angry;4.35;2.21;4.29;2.30;4.50;2.17;2.86;2.10;2.43;1.60;3.71;2.81;8.74;2.78;9.67;1.71;5.40;3.51;3.42;1.84;3.37;1.86;3.60;1.95;;Dom_Mn_Mal:;mean dominance score for male subjects
abuso;abuse;6.67;2.55;6.64;2.64;7.00;0.00;5.70;2.56;5.82;2.55;4.00;2.83;7.48;2.74;7.73;2.69;7.25;2.87;4.25;1.67;4.15;1.71;4.88;1.25;;Dom_SD_Mal:;standard deviation of the dominance scores for male subjects
acariciar;to caress;5.33;2.62;5.04;2.69;6.50;2.07;6.60;1.85;6.83;1.52;5.67;2.80;3.93;1.82;4.04;1.90;3.50;1.52;5.40;1.63;5.83;1.31;3.67;1.75;;Fam_Mn:;mean familiarity score for all subjects
acatar;to comply with;5.10;2.70;5.00;2.65;5.43;3.05;4.83;1.95;4.87;2.12;4.71;1.38;9.15;2.58;9.35;2.33;9.38;2.72;3.41;2.08;3.22;2.00;4.00;2.56;;Fam_SD:;standard deviation of the familiarity scores for all subjects
