word;averageAoA;SD;Min;Max;ItemZScore;OralFreq_Log; WrittenFreq_Subtlex-ESP_Log; WrittenFreq_LEXESP_Log;WrittenFreq_espal_Log;espal_max_lem_cat;max_lem_code;espal_es_num_syll
a;2.28;1.443;1;6;-1.650;4.852;5.985;4.961;4.359;ADPOSITION;SPS00;1
abajo;2.96;1.370;1;6;-1.357;2.616;3.941;2.751;1.811;ADVERB;RG;3
abandonado;6.06;1.659;2;10;-0.584;1.623;2.872;2.196;1.374;ADJECTIVE;AQ0MSP;5
abandonar;7.58;1.655;4;11;-0.020;1.806;2.988;2.435;1.653;VERB;VMN0000;4
abandono;7.22;1.941;3;11;0.040;1.602;2.336;2.167;1.328;NOUN;NCMS000;4
abatimiento;10.02;1.491;5;11;1.056;0.602;0.954;1.279;0.463;NOUN;NCMS000;5
abdomen;8.64;2.087;3;11;0.491;1.301;2.204;1.505;0.713;NOUN;NCMS000;3
abecedario;4.86;1.498;2;9;-0.729;0.602;1.204;0.477;0.181;NOUN;NCMS000;5
abeja;4.30;1.810;1;9;-1.002;0.845;2.494;1.322;0.816;NOUN;NCFS000;3
abejas;4.02;1.732;1;8;-1.409;0.954;2.573;1.602;1.260;NOUN;NCFP000;3
abeto;7.66;2.429;2;11;0.205;;1.398;0.903;0.306;NOUN;NCMS000;3
abierta;4.14;1.927;1;9;-0.921;2.049;3.266;2.489;1.733;ADJECTIVE;AQ0FSP;3
abierto;3.24;1.238;1;6;-1.123;2.299;3.275;2.563;1.839;ADJECTIVE;AQ0MSP;3
abismo;9.30;1.644;5;11;0.825;1.255;2.230;1.968;1.156;NOUN;NCMS000;3
abnegación;10.80;0.612;8;11;1.402;0.602;1.000;1.380;0.563;NOUN;NCFS000;4
abogado;8.44;1.567;4;11;0.381;2.420;3.698;2.350;1.684;NOUN;NCMS000;4
abono;7.80;2.321;2;11;0.272;1.176;1.934;1.041;0.730;NOUN;NCMS000;3
aborrecimiento;9.96;1.538;4;11;0.954;0.301;;0.301;0.216;NOUN;NCMS000;6
aborto;9.68;1.708;4;11;0.788;1.591;2.512;1.756;0.992;NOUN;NCMS000;3
abrasador;9.14;1.927;4;11;0.630;0.301;1.230;0.699;0.215;ADJECTIVE;AQ0MS0;4
abrazo;2.86;1.552;1;6;-1.597;2.053;2.925;1.949;0.845;NOUN;NCMS000;3
abrigo;3.98;1.545;2;8;-1.204;1.591;3.023;2.130;1.066;NOUN;NCMS000;3
abril;4.86;1.539;2;11;-0.550;2.111;2.774;2.155;2.271;DATE;W;2
abrir;3.18;1.662;1;7;-1.537;2.173;3.427;2.441;1.700;VERB;VMN0000;2
abrumado;9.54;1.809;3;11;0.724;0.301;1.929;1.362;0.435;VERB;VMP00SM;4
absoluta;8.56;1.593;4;11;0.751;2.143;;2.515;1.680;ADJECTIVE;AQ0FS0;4
absolutamente;8.84;1.583;6;11;1.319;2.793;3.382;2.455;1.669;ADVERB;RG;6
