Appendix F. Spanish base and complex words semantically transparent;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Complex word;;;;;;;;Semantic;Complex word;;;;;;;;Semantic
Base word;AoA;Imag;Fr;L;P;S;N;MFS;MFS;Semantically;AoA;Imag;Fr;L;P;S;N;distance;Semantically;AoA;Imag;Fr;L;P;S;N;distance
;;;;;;;;Inf.;Sem.R;Transparent;;;;;;;;;Opaque;;;;;;;;
acceder (to access);4.7;5.5;2.7;7;7;3;0;6;6;accesible (accessible);5.1;3.6;1.9;9;9;4;0;7.7;accesorio (accesory);4.1;5.2;1.7;9;9;4;1;3.8
actual (current);4.2;5.7;2.9;6;6;2;1;5;5;actualidad (at present);4.3;4.3;2.2;10;10;4;0;7.8;actualizar (to update);4.9;2.9;1.8;10;10;4;0;6.9
actuar (to act);3.3;6.3;3.3;6;6;2;1;14;8;acto (act);4.3;4;3.2;4;4;2;6;6.7;acta (minutes);5.8;4.4;2.3;4;4;2;8;3.3
agujerear (to make a hole);3.2;6.9;1;9;9;5;0;4;2;aguja (needle);2.9;6.6;2.7;5;5;3;2;6;agujeta (pain from fatigue);3.8;4.3;0.7;7;7;4;0;3.1
amar (to love);2.8;5.7;2.9;4;4;2;9;15;15;amante (lover);4.8;5.9;3.1;6;6;3;3;7.4;amable (gentle);2.6;4.7;3.5;6;6;3;2;5
ambular (to walk);6;3.8;0;7;7;3;1;7;7;ambulante (that walks);5.7;4.6;2;9;9;4;0;6.2;ambulancia (ambulance);2.4;6.9;3.1;10;10;4;0;4.1
andar (to walk);1.9;8;3.1;5;5;2;2;27;27;andador (walking frame);4.1;5.8;1.4;7;7;3;0;7;andamio (scaffold);4;6.7;1;7;7;3;0;3.9
animal (animal);1.4;7.5;3.3;6;6;3;2;17;10;animalada (foolishness);4.5;4;0;9;9;5;0;6.9;ánima (soul);5.6;2.2;0.7;5;5;3;1;3.3
apartar (to set aside);3.3;6.1;1.8;7;7;3;7;11;9;apartado (remote);3.8;4.3;2.2;8;8;4;2;5.2;apartamento (apartment);3.4;6.4;3.5;11;11;5;0;3.6
aplicar (to apply);4.3;5.3;2.1;7;7;3;1;12;8;aplicado ( applied);4.5;4.4;1.6;8;8;4;1;7;aplique (plug);5.5;3.3;1.4;7;6;3;0;5.5
arca (ark);4.3;6.7;2.4;4;4;2;15;16;4;arcón (large chest);5.6;5.5;1.3;5;5;2;7;4.7;arqueta (casket);6.4;4;0;7;6;3;1;3.2
arder (to burn);3.4;7.3;2;5;5;2;1;11;11;ardor (heat);4.4;4.4;1.7;5;5;2;1;6.9;arduo (arduous);6.2;2;1.7;5;5;2;1;3.2
armar (to arm);3.3;6.5;2.6;5;5;2;7;19;14;armada (army);4.6;4.9;2.8;6;6;3;4;6.2;armario (wardrobe);2.4;7;3.1;7;7;3;1;3.6
arte (art);3.7;6.2;3.4;4;4;2;5;8;7;artesano (craftsman);4.1;5.8;1.6;8;8;4;1;6.8;artefacto (artifact);4.8;5.1;2.5;9;9;4;0;3.2
articular (to articulate);4.9;5.9;1.5;9;9;4;0;19;10;articulación (joint);4.9;5.6;1.3;12;12;5;0;7;artículo (paper);4;5.6;3.1;8;8;4;0;3.8
aspirar (to inhale);4.2;6.6;2.1;7;7;3;1;22;6;aspiradora (Hoover);3.3;6.6;2.3;10;10;5;1;7.6;aspirante (candidate);4.6;4.5;2;9;9;4;0;6.8
audio (audio);3.9;6.3;2.5;5;5;2;0;5;5;audible (audible);5.8;3.5;1.2;7;7;3;0;7.2;audiencia (audience);5;5.3;3;9;9;3;0;5.6
autor (author);4;6.2;2.6;5;5;2;6;5;5;autoridad (authority);4.8;5.1;3;9;9;4;0;4.6;autorizar (to approve0;3.8;3.8;1.9;9;9;4;0;4.4
avenir (to reconcile);6.3;2.7;0;6;6;3;2;10;10;avenido (agreed);6.6;1.9;0;7;7;4;2;4;aventura (adventure);2.8;4.7;3.1;8;8;4;0;3.1
bárbaro (barbarian);5.4;5.7;2.3;7;7;3;1;11;11;barbarie (barbarism);5.9;3.5;1.3;8;8;3;1;6.3;barbaridad (barbarism);4;4;1.8;10;10;4;0;7.2
boca (mouth);1.3;8;3.8;4;4;2;25;30;30;bocado (mouthfull);4.1;5.3;2.1;6;6;3;6;6.8;bocazas (bigmouth);3.5;4.8;1.2;7;7;3;0;6.8
breve (brief);4.1;5.7;2.8;5;5;2;2;7;7;brevedad (brevety);4.6;3.5;1.7;8;8;3;0;7.3;breviario (berviary);6.5;3;0;9;9;3;0;3.1
bueno (good);1.5;5.7;5;5;5;2;2;17;13;bonita (beautifull);1.9;5.6;3.5;6;6;3;0;3;bono (voucher);4.6;6.1;2.3;4;4;2;13;2.6
cabeza (head);1.3;8;4.2;6;6;3;5;24;24;cabezudo (pigheaded);3.1;5.6;0;8;8;4;1;6.8;cabestro (leading ox);5.8;3.7;0;8;8;3;0;4.2
calentar (to heat);2.2;6.8;2.3;8;8;3;1;16;10;caliente (hot);1.7;5.5;3.5;8;8;3;2;7.4;caldo (broth);2.6;6.6;2;5;5;2;11;3.4
calor (heat);1.8;6.5;3.4;5;5;2;5;15;11; caluroso (hot);2.9;5.6;2.1;8;8;4;2;7.6;caloría (calorie);4.6;3.3;1.1;7;7;4;2;3.9
calzar (to wear);3.6;6.5;0.9;6;6;2;4;10;10;calzado (footwear);2.8;6.7;2;7;7;3;5;7.3;calzón (shorts);4.1;5.5;1.8;6;6;2;1;2.9
cara (face);1.3;7.8;4;4;4;2;23;17;15;careta (mask);2.7;6.5;1.1;6;6;3;17;7.3;careo (confrontation);5.7;3;0;5;5;3;18;4.6
carne (meat);1.8;7.6;3.5;5;5;2;4;25;25;carnívoro (carnivorous);3.8;5.4;1.6;9;9;4;1;7.4;carnaval (carnival);2.4;6.6;2.2;8;8;3;0;3.2
caro (expensive);3;5.7;2.9;4;4;2;25;7;7;carestía (scarcity);6.5;1.8;0.5;8;8;4;0;2.6;caricia (caress);2.5;6.1;1.6;7;7;3;0;2.6
carro (cart);2.3;7.7;2.9;5;4;2;20;27;27;carruaje (carriage);4.3;6.5;2.1;8;7;3;0;6.7;carrete (bobbin);3.5;6.3;1.6;7;6;3;3;3.2
casa (house);1.4;8;4.8;4;4;2;25;29;29;casona (mansion);4.4;5.6;1.1;6;6;3;5;6.9;casado (married);2.9;5.8;3.3;6;6;3;10;4.7
cascar (to crack);4.8;5.5;0.8;6;6;2;7;15;15;cascarón (eggshell);3.5;6.4;1.6;8;8;3;1;5.7;casco (helmet);2.8;6.8;2.8;5;5;2;13;3.3
castrar (to castrate);5.6;5.5;1.2;7;7;2;2;9;9;castrado (castrated);5.6;5.2;1.8;8;8;3;0;7.4; casto (chaste);5.6;3.6;1;5;5;2;16;4.5
