ID;Word;English Trans.;POS;VAL_M;VAL_SD;VAL_N;ARO_M;ARO_SD;ARO_N;CON_M;CON_SD;CON_N;IMA_M;IMA_SD;IMA_N;AVA_M;AVA_SD;AVA_N;FAM_M;FAM_SD;FAM_N
1;abandono;abandonment;N V;1.09;0.29;23;7.85;1.42;20;4.52;1.73;23;3.70;1.77;23;3.95;1.76;22;5.65;1.27;20
2;abanico;fan;N V;5.64;0.99;28;3.57;2.02;23;5.64;1.56;22;6.86;0.36;21;4.67;1.93;21;5.15;2.06;20
3;abeja;bee;N;2.90;1.62;20;7.14;1.61;22;6.86;0.35;22;6.77;0.53;22;5.78;1.88;23;5.48;2.02;21
4;abejorro;bumblebee;N;3.40;1.31;20;6.95;1.91;22;6.59;0.80;22;6.35;1.27;20;4.96;2.16;23;4.32;2.03;22
5;abismo;abyss;N V;2.95;1.20;21;6.55;1.68;22;3.75;1.59;20;3.90;2.20;20;4.35;1.93;20;4.74;1.94;23
6;abnegación;abnegation;N;3.90;1.80;20;4.91;1.77;22;2.18;1.01;22;1.45;1.34;22;1.96;1.74;23;1.77;0.87;22
7;abogada;lawyer;N;5.05;1.15;20;4.95;1.82;20;5.57;1.16;21;5.80;1.58;20;5.18;2.06;22;5.61;1.75;23
8;aborto;abortion;N;2.50;1.50;20;6.90;1.52;20;5.75;1.41;20;3.30;1.56;20;5.00;1.92;20;6.14;0.91;21
9;abrigo;coat;N V;4.40;1.70;20;3.75;1.65;20;4.33;1.43;21;6.96;0.21;23;6.00;1.60;22;6.71;0.64;21
10;abstinente;abstinent;A;3.45;1.43;20;3.64;2.08;22;4.52;2.06;23;2.09;1.35;23;2.74;2.14;23;3.15;1.81;20
11;absurdo;absurd;A N;4.05;1.17;22;4.23;1.93;22;3.23;1.66;22;1.86;1.42;22;3.14;1.58;22;5.64;1.33;22
12;abuela;grandmother;N;8.20;1.06;20;2.20;1.51;20;5.86;1.39;21;6.75;0.64;20;6.73;0.63;22;6.67;0.80;21
13;abuso;abuse;N;1.71;0.85;21;7.20;1.24;20;3.60;1.54;20;3.14;1.65;21;5.59;1.26;22;5.40;1.47;20
14;accidente;accident;N;1.52;0.68;21;7.50;1.30;22;4.20;1.36;20;5.73;1.28;22;6.35;1.31;20;5.90;1.68;20
15;acción;action;N;6.43;1.44;23;6.95;1.81;22;2.05;1.36;20;3.81;1.78;21;4.45;2.24;22;6.45;1.39;20
16;acelerador;accelerator;N;5.90;1.21;20;6.64;1.89;22;5.86;0.65;21;4.73;1.98;22;5.09;2.17;23;5.86;1.53;21
17;acento;accent;N;5.23;1.27;22;4.77;1.90;22;3.30;1.56;20;4.33;2.03;21;5.50;1.73;20;5.80;1.58;20
18;aceptación;acceptance;N;8.35;1.14;20;5.36;2.52;22;2.95;1.64;20;3.29;2.10;21;3.35;1.90;23;5.85;1.46;20
19;acera;sidewalk;N V;4.96;0.21;23;3.90;1.74;20;6.32;0.99;22;6.36;0.90;22;5.77;1.88;22;6.33;0.73;21
20;acidez;acidity;N;4.09;1.54;22;6.14;1.70;22;4.91;1.76;23;2.70;1.74;23;3.91;2.45;22;4.96;1.94;23
21;ácido;acid;A N;4.00;2.14;21;6.80;1.91;20;5.10;1.64;21;3.59;1.87;22;4.95;2.42;20;5.73;1.35;22
22;acierto;confidence;N V;7.80;1.96;20;5.45;2.15;22;4.52;1.78;23;3.30;1.82;23;4.83;2.08;23;6.00;1.34;20
23;acoso;harassment;N V;1.43;0.66;23;7.95;1.32;20;3.09;1.48;22;3.13;1.36;23;4.18;2.28;22;5.00;2.05;21
