Spanish;Translation (British English);Semantic category;Domain;AoA;AoA_SD;Fam;Fam_SD;Man;Man_SD;Tip;Tip_SD;%_Total_36;LF_Log;LF_EsPal;LF_CREA;LF_Cuetos et al. (2012);Word_length;Syllabes;Subjects (n)
Águila              ;Eagle;Animals;Living Things;3.19;1.35;3.47;1.13;2.23;1.52;4.06;1.15;0.03;14.58;3.83;888;2.27;6;3;38
Almeja              ;Clam;Animals;Living Things;4.27;1.14;3.68;0.93;2.79;1.35;2.45;1.38;0.03;11.96;2.43;71;1.94;6;3;38
Ardilla             ;Squirrel;Animals;Living Things;3.20;1.03;3.18;1.10;1.26;0.56;3.90;1.05;0.11;13.22;2.86;128;2.5;7;3;38
Asno                ;Donkey;Animals;Living Things;3.47;1.45;3.19;1.32;1.76;1.08;4.07;0.74;0.08;11.84;3.1;257;2.03;4;2;38
Babuino             ;Baboon;Animals;Living Things;5.63;2.20;1.82;1.31;1.18;0.65;2.16;1.40;0.06;9.49;1.88;12;1.15;7;3;36
Ballena             ;Whale;Animals;Living Things;2.76;0.83;3.32;1.53;1.18;0.84;4.02;0.89;0.03;13.84;3.17;463;2.43;7;3;38
Besugo              ;Sea ??bream;Animals;Living Things;4.44;1.54;3.10;1.36;2.33;1.34;3.05;1.30;0.03;11.36;1.96;139;0.9;6;3;38
Bonito              ;Tuna / Bonito;Animals;Living Things;4.32;1.62;3.21;1.33;2.16;1.42;2.58;1.20;0.03;14.80;3.54;3429;3.59;6;3;38
Borrico             ;Donkey;Animals;Living Things;3.41;1.26;2.92;1.25;1.58;0.96;3.55;1.42;0.03;10.80;2.19;58;0;7;3;38
Buey                ;Ox;Animals;Living Things;3.60;1.33;3.25;1.21;1.55;1.11;3.71;1.03;0.14;13.59;3.45;639;1.91;4;1;38
Búfalo              ;Buffalo;Animals;Living Things;4.46;1.24;2.27;1.11;1.24;0.86;3.42;1.29;0.03;14.79;2.58;126;2.21;6;3;38
Buitre              ;Vulture;Animals;Living Things;4.27;1.39;3.26;1.05;1.26;0.53;3.57;1.10;0.03;11.86;3.18;185;1.7;6;2;38
Burra               ;She-donkey;Animals;Living Things;2.95;0.98;3.54;1.10;1.76;0.90;3.65;1.00;0.03;11.66;2.9;205;1.66;5;2;38
Burro               ;Donkey;Animals;Living Things;2.24;0.94;3.86;1.38;2.00;0.94;4.29;0.83;0.50;13.69;3.56;962;2.6;5;2;38
Caballo             ;Horse;Animals;Living Things;2.23;1.13;4.23;1.04;2.66;1.28;4.82;0.44;0.56;15.17;4.4;7990;3.41;7;3;38
Cabra               ;Goat;Animals;Living Things;3.03;1.22;3.23;1.26;1.95;1.17;4.22;0.98;0.31;14.43;3.45;772;2.62;5;2;38
Cabrito             ;Kid;Animals;Living Things;4.09;1.41;3.01;1.23;1.87;1.22;3.47;1.13;0.03;12.03;2.52;219;0.95;7;3;38
Canario             ;Canary;Animals;Living Things;3.00;1.33;3.74;1.13;2.48;1.74;4.00;1.04;0.03;14.46;3.38;1171;1.87;7;3;38
Canguro             ;Kangaroo;Animals;Living Things;3.15;1.33;3.12;1.10;2.10;1.48;3.63;1.25;0.03;13.88;2.48;160;2.06;7;3;38
Cebra               ;Zebra;Animals;Living Things;3.23;1.26;3.42;1.07;1.24;0.53;3.90;1.05;0.03;12.94;2.59;102;1.88;5;2;38
Cerdo               ;Pork / Pig;Animals;Living Things;2.17;0.76;3.82;1.03;2.00;1.34;4.73;0.44;0.39;14.25;3.67;2463;3.22;5;2;38
Chimpancé           ;Chimpanzee;Animals;Living Things;3.60;1.24;3.39;0.95;1.27;0.74;4.20;0.69;0.03;9.75;2.61;333;1.88;9;3;38
Chirla              ;Baby clam;Animals;Living Things;5.13;1.70;2.97;1.42;2.55;1.39;2.09;1.31;0.03;10.24;1.08;6;0;6;2;37
Ciervo              ;Deer;Animals;Living Things;3.33;1.05;3.53;0.99;1.29;0.73;4.32;0.97;0.03;13.00;3.06;409;2.45;6;2;38
Cigüeña             ;Stork;Animals;Living Things;2.82;1.04;3.50;1.28;1.16;0.50;3.88;0.99;0.06;12.85;3.15;138;1.51;7;3;38
Cochinillo          ;Piglet;Animals;Living Things;3.93;1.43;3.49;1.37;2.96;1.63;3.58;1.13;0.03;12.38;1.93;66;0.85;10;4;38
Cocodrilo           ;Crocodile;Animals;Living Things;2.61;1.19;3.26;1.10;2.19;1.58;4.02;1.08;0.11;13.34;2.89;302;2.14;9;4;38
Codorniz            ;Quail;Animals;Living Things;4.66;1.64;3.11;1.28;2.50;1.53;3.36;1.20;0.08;12.33;2.46;157;1.7;8;3;38
Comadreja           ;Weasel;Animals;Living Things;4.89;1.23;2.23;1.17;1.48;1.04;2.79;1.20;0.03;10.53;3.38;62;2.06;9;4;38
Conejo              ;Rabbit;Animals;Living Things;2.26;1.11;4.27;0.83;2.13;1.30;4.55;0.50;0.36;14.40;3.42;1017;2.96;6;3;38
Cordero             ;Lamb;Animals;Living Things;3.06;1.39;3.82;1.12;1.90;1.02;4.13;0.94;0.17;14.03;3.63;1137;2.6;7;3;38
Coyote              ;Coyote;Animals;Living Things;4.06;1.58;2.36;1.43;1.15;0.52;3.17;1.45;0.03;13.25;2.9;140;2.27;6;3;37
Culebra             ;Snake;Animals;Living Things;3.10;1.16;3.12;1.30;1.32;0.63;3.40;0.96;0.03;12.24;2.91;360;1.51;7;3;38
Diplodoco           ;Diplodocus;Animals;Living Things;4.48;2.85;1.38;1.40;0.84;0.57;1.70;1.34;0.03;6.33;1.34;4;0;9;4;31
Elefante            ;Elephant;Animals;Living Things;2.22;0.67;3.84;1.34;1.33;0.69;4.49;0.63;0.31;14.06;3.34;785;2.63;8;4;38
Foca                ;Seal;Animals;Living Things;2.76;1.04;3.40;1.26;2.53;1.77;4.12;1.03;0.06;12.32;2.81;125;2.02;4;2;38
Gallina             ;Hen;Animals;Living Things;2.13;1.02;3.90;1.13;2.90;1.81;4.46;0.88;0.36;13.88;3.63;1564;2.78;7;3;38
Gamba               ;Shrimp;Animals;Living Things;3.48;1.07;4.17;0.71;3.22;1.45;2.61;1.20;0.03;12.14;2.51;85;1.68;5;2;38
Gato             ;Cat;Animals;Living Things;1.62;0.50;4.63;0.67;2.33;1.23;5.00;0.00;0.69;9.77;4.07;3556;3.35;4;2;38
