Word;Sens précis;N;AoA.Moy;AoA.Min;AoA.Max;AoA.ET;CertAge.Moy;CertAge.Min;CertAge.Max;CertAge.ET;FamConcept.Moy;FamConcept.Min;Max;FamConcept.ET
a ;avoir;26;3.77;1;9;1.95;1.27;-3;3;1.51;2.96;2;3;0.19
à ;préposition;23;4.70;2;8;2.16;0.87;-3;3;1.60;3.00;3;3;0.00
âge ;années;18;3.56;1;8;1.57;1.11;-3;3;1.91;2.94;2;3;0.23
ai ;avoir;23;4.04;1;9;2.01;1.00;-3;3;1.53;2.96;2;3;0.20
aïe ;douleur;15;2.93;1;5;1.12;0.87;-3;3;1.63;2.67;-1;3;1.01
ail ;cuisine;16;6.13;2;9;1.87;0.19;-3;3;1.70;2.56;-2;3;1.22
aile ;partie latérale;20;9.55;4;16;3.57;0.05;-3;3;1.86;2.30;-1;3;1.23
aile ;vol;19;4.47;2;7;1.39;0.47;-1;3;1.46;2.68;-1;3;0.92
aima ;aimer;17;7.29;3;13;3.01;1.06;-1;3;1.30;2.59;-1;3;0.97
aime ;aimer;18;3.67;2;6;1.33;1.06;-1;3;1.39;3.00;3;3;0.00
Ain ;département;16;9.50;5;14;2.81;0.00;-3;3;1.90;2.00;-3;3;1.84
aine ;anatomie;16;12.00;6;16;2.87;0.56;-2;2;1.41;1.56;-3;3;1.90
ainsi ;comme;25;7.04;4;10;1.95;-0.44;-3;2;1.65;2.88;1;3;0.43
air ;apparence;17;6.71;3;9;1.74;-0.12;-3;3;1.78;2.82;2;3;0.38
air ;gaz;29;6.07;1;10;2.27;0.31;-2;3;1.70;2.72;1;3;0.58
air ;mélodie;16;5.63;3;9;1.76;0.25;-2;2;1.44;2.69;1;3;0.68
aire ;surface;26;9.12;7;12;1.15;0.77;-2;3;1.37;2.42;-1;3;1.04
aise ;confort;19;9.68;5;14;2.54;-1.05;-3;1;1.23;2.47;1;3;0.68
allant ;ardeur;16;11.81;7;16;2.58;-0.75;-3;2;1.68;1.88;-3;3;1.54
âme ;spirituel;18;9.50;5;14;2.81;0.22;-3;3;1.72;2.89;2;3;0.31
an ;durée;19;4.42;2;7;1.50;-0.05;-3;2;1.54;2.74;1;3;0.55
anche ;tuyau;21;19.43;7;28;6.16;0.90;-3;3;2.14;-0.52;-3;3;2.56
Andes ;montagne;24;10.75;7;15;2.26;0.96;-2;2;1.10;2.08;-3;3;1.55
âne ;animal;21;5.14;1;14;2.75;0.95;-1;3;1.53;2.67;-1;3;0.94
âne ;ignorant;18;5.50;3;8;1.64;0.72;-2;3;1.56;2.72;-1;3;0.93
ange ;personne parfaite;26;6.38;3;14;2.68;0.50;-3;3;1.62;2.50;-2;3;1.25
ange ;spirituel;26;6.58;2;12;2.29;0.50;-3;3;1.84;2.38;-2;3;1.39
anis ;plante;16;9.69;3;19;4.09;0.63;-2;3;1.76;2.00;-3;3;1.66
anse ;crique;18;12.00;6;26;4.52;-0.28;-3;3;1.66;1.00;-3;3;2.16
anse ;poignée;25;9.60;4;15;3.41;0.08;-3;2;1.47;2.36;-1;3;1.02
août ;mois;21;6.19;3;10;1.92;0.81;-3;3;1.56;3.00;3;3;0.00
ara ;perroquet;18;11.50;7;20;3.29;0.44;-3;2;1.61;1.39;-3;3;2.38
arbre ;végétal;18;4.00;2;7;1.45;0.78;-2;3;1.62;3.00;3;3;0.00
arc ;arme;20;6.60;4;12;1.91;0.70;-2;3;1.58;2.35;-2;3;1.39
arc ;géométrie;29;10.55;7;16;2.25;0.79;-2;3;1.40;2.21;-2;3;1.32
arme;;24;5.83;3;9;1.46;0.46;-2;3;1.32;2.50;-1;3;1.12
arpent ;mesure;23;13.30;6;26;5.21;0.52;-2;3;1.64;1.00;-3;3;2.30
