Word;Database;Concr.M;Concr.ET;Imag.M;Imag.ET;FreqSub.Moy;FreqSub.ET;ValEmo.Moy;ValEmo.ET
Abeille;AF;4.86;0.47;4.71;0.55;2.92;0.86;2.60;1.04
Abricot;B;4.82;0.66;4.76;0.60;3.08;0.91;4.00;0.91
Accordéon;AF;4.86;0.47;4.68;0.63;2.04;0.61;2.20;1.08
Agenda;B;4.82;0.39;4.32;1.18;3.92;0.86;3.12;1.01
Agneau;AF;4.86;0.47;4.36;0.95;2.56;1.00;3.88;0.78
Agrafeuse;B;4.82;0.66;4.40;0.96;2.96;1.06;2.76;0.88
Aigle;AF;4.77;0.69;4.48;0.82;2.28;0.74;3.20;1.26
Aiguille;AF;4.73;0.63;4.20;1.22;2.84;0.80;1.88;0.83
Ail;B;4.86;0.47;4.24;1.13;3.08;0.81;2.36;1.11
Aile;B;4.36;1.05;3.72;1.24;3.12;1.05;3.72;0.79
Aimant;B;4.32;1.09;3.40;1.50;2.40;0.96;3.24;0.88
Allumette;B;4.91;0.29;4.76;0.52;3.80;0.82;2.92;1.08
Ambulance;B;4.59;0.85;4.36;1.08;3.12;0.97;1.76;0.83
Ampli;-;4.18;1.18;3.12;1.62;2.72;1.06;2.96;0.93
Ampoule;AF;4.91;0.29;4.76;0.52;4.04;0.84;3.04;1.02
Ananas;AF;4.91;0.29;4.88;0.44;2.80;0.71;3.71;1.16
Anatomie;-;2.91;1.72;2.60;1.32;2.36;0.91;2.52;0.96
Ancre;AF;4.55;0.86;4.08;1.15;1.84;0.85;3.44;0.92
Ane;AF;4.77;0.69;4.56;0.71;2.48;0.71;3.24;1.05
Ange;B;2.23;1.31;4.24;1.20;2.92;1.08;4.32;0.90
Anguille;AF;4.68;0.57;3.88;1.30;1.88;0.67;1.88;0.99
Anneaux;B;4.00;1.31;3.28;1.43;2.60;1.08;3.48;0.96
Anse;B;4.05;1.05;3.28;1.49;1.76;0.78;2.76;0.78
Antenne;B;4.64;1.00;3.96;1.14;3.56;0.82;2.84;0.69
Appareil photo;AF;4.86;0.35;4.88;0.44;3.76;0.72;4.28;0.79
Araignée;AF;4.86;0.47;4.76;0.66;3.24;1.01;1.32;0.56
Arbre;AF;4.77;0.53;4.80;0.50;4.28;0.68;3.84;0.69
Arc;B;4.82;0.39;4.16;1.14;2.44;1.00;3.24;1.01
Arche;AF;4.18;1.22;2.48;1.36;1.80;0.58;3.32;0.90
Archet;B;4.36;1.00;2.96;1.65;1.64;0.64;3.32;0.95
Argent;-;3.32;1.49;3.84;1.21;4.76;0.52;4.00;1.08
Armoire;-;4.91;0.29;4.48;1.00;4.28;0.79;3.12;0.78
Arrosoir;AF;4.77;0.69;4.60;0.82;2.48;0.82;3.16;0.80
Artichaut;AF;4.91;0.29;4.40;0.91;2.20;0.87;2.68;1.18
Asperge;AF;4.82;0.50;4.36;1.04;2.64;0.95;3.28;1.02
Aspirateur;B;4.86;0.47;4.56;0.82;4.04;0.98;2.16;0.69
Assiette;B;4.86;0.47;4.76;0.72;4.56;0.71;3.44;0.82
Astronaute;B;4.18;1.18;4.12;1.13;2.48;0.82;3.36;0.99
Autobus;-;4.73;0.88;4.56;0.96;3.40;0.96;2.36;0.86
Autruche;AF;4.68;0.78;4.24;1.13;1.80;0.65;2.76;1.05
Auvent;-;4.45;0.96;2.92;1.47;2.00;0.91;3.40;1.04
Avion;AF;4.73;0.70;4.84;0.47;3.88;0.88;3.16;1.07
Avocat;AF;4.41;0.91;3.72;1.28;2.92;0.86;2.76;0.88
Bague;AF;4.91;0.43;4.84;0.47;3.96;1.10;4.20;0.87
Baguette;B;4.64;0.79;4.56;1.04;4.12;0.97;3.64;0.95
Baignoire;B;4.86;0.47;4.64;0.81;3.96;0.84;4.20;0.82
Bal;-;3.64;1.47;3.24;1.54;2.84;0.85;3.80;1.00
Balai;AF;4.77;0.69;4.56;0.82;3.92;0.95;2.08;0.91
Balance;AF;4.64;0.79;4.00;1.15;3.16;1.07;2.72;0.98
Balançoire;AF;4.82;0.50;4.72;0.61;2.92;0.91;4.08;0.70
Balcon;B;4.68;0.72;4.38;0.92;3.20;0.91;3.68;0.90
Baleine;AF;4.73;0.70;4.75;0.61;2.24;0.72;3.44;0.96
Balle;-;4.86;0.35;4.52;0.77;4.00;0.82;3.24;1.09
Ballon;AF;4.77;0.43;4.52;0.77;4.00;0.96;3.92;0.91
Ballon dirigeable;AF;4.68;0.89;3.83;1.17;1.76;0.97;3.52;1.26
Banane;AF;4.91;0.29;4.92;0.28;3.48;0.82;3.80;0.87
Banc;AF;4.68;0.65;4.24;1.05;3.44;0.96;3.28;0.98
Banjo;B;4.77;0.53;3.04;1.59;1.60;0.50;3.40;0.76
Barbe;B;4.59;0.91;4.56;0.71;3.24;0.72;2.16;0.90
Barbecue;AF;4.77;0.53;4.64;0.76;3.24;0.97;4.12;0.73
Barbelé;-;4.77;0.43;4.04;1.10;2.40;0.76;1.28;0.61
Barbiche;-;4.32;0.89;3.56;1.39;2.04;0.79;2.36;0.81
Baril;-;4.36;1.00;3.12;1.39;2.12;0.73;2.36;0.70
Barque;-;4.82;0.66;4.36;1.11;2.20;0.82;3.68;0.95
Barre;B;4.45;1.10;3.32;1.46;3.48;1.12;2.60;0.76
Barreau (chaise);B;4.82;0.50;3.88;1.36;1.92;0.81;2.44;0.71
Bascule;-;4.09;1.27;2.60;1.58;1.92;0.70;2.56;1.00
Bassine;AF;4.77;0.69;4.08;1.19;2.88;0.88;2.44;0.77
Bateau;B;4.86;0.47;4.68;0.56;3.48;0.87;3.68;0.99
Batterie;B;4.45;0.74;3.88;1.30;2.76;0.88;3.08;0.86
Bébé;B;4.23;1.31;4.92;0.28;4.24;0.78;4.44;0.82
