feel_id;word;word_en;letter;syllables;freq_f;freq_b;val_yf;val_yh;val_mf;val_mh;val_of;val_oh;val_y;val_m;val_o;val_g;aro_yf;aro_yh;aro_mf;aro_mh;aro_of;aro_oh;aro_y;aro_m;aro_o;aro_g;img_yf;img_yh;img_mf;img_mh;img_of;img_oh;img_y;img_m;img_o;img_g;v_age_p;v_age_e;v_age_s;v_sex_p;v_sex_e;v_sex_s;v_axs_p;v_axs_e;v_axs_s;a_age_p;a_age_e;a_age_s;a_sex_p;a_sex_e;a_sex_s;a_axs_p;a_axs_e;a_axs_s;i_age_p;i_age_e;i_age_s;i_sex_p;i_sex_e;i_sex_s;i_axs_p;i_axs_e;i_axs_s;v12_age_p;v12_age_e;v12_age_s;v12_sex_p;v12_sex_e;v12_sex_s;v12_axs_p;v12_axs_e;v12_axs_s;v13_age_p;v13_age_e;v13_age_s;v13_sex_p;v13_sex_e;v13_sex_s;v13_axs_p;v13_axs_e;v13_axs_s;v23_age_p;v23_age_e;v23_age_s;v23_sex_p;v23_sex_e;v23_sex_s;v23_axs_p;v23_axs_e;v23_axs_s;a12_age_p;a12_age_e;a12_age_s;a12_sex_p;a12_sex_e;a12_sex_s;a12_axs_p;a12_axs_e;a12_axs_s;a13_age_p;a13_age_e;a13_age_s;a13_sex_p;a13_sex_e;a13_sex_s;a13_axs_p;a13_axs_e;a13_axs_s;a23_age_p;a23_age_e;a23_age_s;a23_sex_p;a23_sex_e;a23_sex_s;a23_axs_p;a23_axs_e;a23_axs_s;i12_age_p;i12_age_e;i12_age_s;i12_sex_p;i12_sex_e;i12_sex_s;i12_axs_p;i12_axs_e;i12_axs_s;i13_age_p;i13_age_e;i13_age_s;i13_sex_p;i13_sex_e;i13_sex_s;i13_axs_p;i13_axs_e;i13_axs_s;i23_age_p;i23_age_e;i23_age_s;i23_sex_p;i23_sex_e;i23_sex_s;i23_axs_p;i23_axs_e;i23_axs_s
1;abandonné;abandoned;9;4;3.55;8.45;2.00;2.44;2.20;2.20;3.30;3.22;2.21;2.20;3.26;2.55;5.30;4.11;5.50;4.60;5.30;5.00;4.74;5.05;5.16;4.98;4.70;4.67;6.10;5.60;5.56;5.78;4.68;5.85;5.67;5.40;0.110;0.081;0;0.791;0.001;0;0.884;0.005;0;0.611;0.019;0;0.040;0.078;1;0.628;0.018;0;0.091;0.090;0;0.822;0.001;0;0.808;0.008;0;0.962;0.000;0;0.631;0.007;0;0.631;0.007;0;0.082;0.087;0;0.753;0.003;0;0.655;0.006;0;0.105;0.073;0;0.952;0.000;0;0.952;0.000;0;0.458;0.016;0;0.029;0.129;1;0.755;0.003;0;0.315;0.030;0;0.096;0.079;0;0.315;0.030;0;0.841;0.001;0;0.232;0.040;0;0.547;0.010;0;0.051;0.105;0;0.647;0.006;0;0.688;0.005;0;0.111;0.075;0;0.876;0.001;0;0.833;0.001;0;0.720;0.004;0;0.786;0.002;0;0.482;0.015;0
2;abasourdi;stunned;9;4;0.18;2.03;3.90;3.11;2.50;3.00;2.40;3.00;3.53;2.75;2.68;2.98;3.90;3.89;4.30;4.20;4.10;4.67;3.89;4.25;4.37;4.17;4.20;4.00;4.90;3.44;5.20;4.44;4.11;4.21;4.84;4.39;0.039;0.117;1;0.712;0.003;0;0.089;0.089;0;0.334;0.041;0;0.582;0.006;0;0.564;0.022;0;0.388;0.036;0;0.092;0.055;0;0.551;0.023;0;0.035;0.121;1;0.677;0.005;0;0.069;0.091;0;0.016;0.160;1;0.767;0.003;0;0.035;0.124;1;0.891;0.001;0;0.139;0.062;0;0.891;0.001;0;0.304;0.030;0;0.871;0.001;0;0.897;0.000;0;0.146;0.061;0;0.403;0.021;0;0.385;0.022;0;0.694;0.004;0;0.493;0.014;0;0.329;0.027;0;0.903;0.000;0;0.167;0.055;0;0.292;0.033;0;0.224;0.043;0;0.418;0.019;0;0.637;0.007;0;0.244;0.040;0;0.052;0.107;0;0.528;0.012;0
3;abattu;downcast;6;3;3.13;3.78;2.30;2.33;1.80;3.10;2.50;2.44;2.32;2.45;2.47;2.41;3.90;4.00;5.10;4.00;4.40;4.56;3.95;4.55;4.47;4.33;5.10;4.67;5.80;3.80;5.90;6.00;4.89;4.80;5.95;5.21;0.877;0.005;0;0.116;0.047;0;0.073;0.096;0;0.322;0.043;0;0.426;0.012;0;0.258;0.051;0;0.030;0.126;1;0.046;0.074;1;0.071;0.097;0;0.659;0.006;0;0.033;0.124;1;0.042;0.113;1;0.629;0.007;0;0.972;0.000;0;0.890;0.001;0;0.951;0.000;0;0.089;0.080;0;0.065;0.094;0;0.194;0.048;0;0.277;0.034;0;0.194;0.048;0;0.243;0.040;0;0.775;0.002;0;0.950;0.000;0;0.854;0.001;0;0.233;0.040;0;0.116;0.069;0;0.875;0.001;0;0.027;0.133;1;0.145;0.060;0;0.024;0.141;1;0.715;0.004;0;0.559;0.010;0;0.009;0.181;1;0.028;0.131;1;0.016;0.156;1
4;abruti;idiot;6;3;5.72;3.04;2.50;2.11;2.10;2.40;2.10;1.78;2.32;2.25;1.95;2.17;4.00;4.56;5.20;4.90;5.60;6.00;4.26;5.05;5.79;5.03;4.00;5.22;4.70;3.90;4.00;5.56;4.58;4.30;4.78;4.54;0.430;0.032;0;0.578;0.006;0;0.448;0.030;0;0.001;0.226;1;0.492;0.009;0;0.499;0.026;0;0.756;0.011;0;0.221;0.029;0;0.151;0.071;0;0.844;0.001;0;0.875;0.001;0;0.227;0.041;0;0.221;0.044;0;0.235;0.041;0;0.910;0.000;0;0.344;0.026;0;0.973;0.000;0;0.344;0.026;0;0.071;0.090;0;0.760;0.003;0;0.310;0.029;0;0.000;0.311;1;0.227;0.043;0;0.843;0.001;0;0.042;0.113;1;0.889;0.001;0;0.331;0.027;0;0.616;0.007;0;0.733;0.003;0;0.109;0.072;0;0.806;0.002;0;0.047;0.114;1;0.806;0.002;0;0.479;0.015;0;0.575;0.009;0;0.086;0.084;0
5;absurde;absurd;7;2;16.69;24.80;3.00;4.11;2.90;3.50;3.60;3.00;3.53;3.20;3.32;3.34;3.80;3.33;4.90;4.50;5.50;5.22;3.58;4.70;5.37;4.55;2.50;2.89;3.50;3.20;3.60;5.22;2.68;3.35;4.37;3.47;0.750;0.011;0;0.351;0.017;0;0.205;0.059;0;0.000;0.371;1;0.157;0.038;0;0.958;0.002;0;0.047;0.111;1;0.304;0.020;0;0.357;0.039;0;0.426;0.018;0;0.061;0.097;0;0.566;0.009;0;0.585;0.009;0;0.585;0.009;0;0.074;0.091;0;0.853;0.001;0;1.000;0.000;0;0.271;0.035;0;0.001;0.275;1;0.173;0.052;0;0.915;0.000;0;0.000;0.491;1;0.243;0.040;0;0.765;0.003;0;0.066;0.093;0;0.338;0.026;0;0.862;0.001;0;0.280;0.033;0;0.941;0.000;0;0.568;0.009;0;0.016;0.159;1;0.146;0.061;0;0.368;0.024;0;0.160;0.056;0;0.377;0.022;0;0.202;0.046;0
6;abusé;abused;5;3;0.12;0.41;1.60;2.44;1.90;2.10;1.90;2.33;2.00;2.00;2.11;2.03;5.20;4.89;6.20;5.50;5.60;5.33;5.05;5.85;5.47;5.47;2.90;3.67;2.90;3.70;3.30;5.22;3.26;3.30;4.21;3.59;0.937;0.002;0;0.085;0.056;0;0.639;0.017;0;0.188;0.062;0;0.236;0.027;0;0.859;0.006;0;0.257;0.051;0;0.038;0.080;1;0.621;0.018;0;0.950;0.000;0;0.148;0.059;0;0.368;0.023;0;0.765;0.003;0;0.049;0.109;1;0.516;0.013;0;0.749;0.003;0;0.388;0.021;0;0.749;0.003;0;0.077;0.087;0;0.261;0.036;0;0.663;0.005;0;0.296;0.032;0;0.472;0.015;0;0.956;0.000;0;0.412;0.019;0;0.302;0.030;0;0.642;0.006;0;0.981;0.000;0;0.258;0.036;0;0.981;0.000;0;0.156;0.058;0;0.054;0.105;0;0.398;0.021;0;0.147;0.059;0;0.043;0.112;1;0.392;0.021;0
7;accablé;overwhelmed;7;3;0.18;3.58;2.50;2.56;1.60;2.50;1.50;2.56;2.53;2.05;2.00;2.19;4.60;4.11;5.30;4.89;4.80;5.22;4.37;5.11;5.00;4.82;4.20;4.22;5.40;3.20;5.40;5.78;4.21;4.30;5.58;4.69;0.137;0.074;0;0.005;0.145;1;0.164;0.067;0;0.106;0.084;0;0.604;0.005;0;0.407;0.035;0;0.018;0.144;1;0.163;0.037;0;0.032;0.124;1;0.114;0.070;0;0.114;0.070;0;0.161;0.055;0;0.073;0.092;0;0.047;0.111;1;0.073;0.092;0;0.933;0.000;0;0.001;0.283;1;0.770;0.002;0;0.039;0.119;1;0.201;0.048;0;0.911;0.000;0;0.107;0.075;0;0.933;0.000;0;0.258;0.038;0;0.827;0.001;0;0.988;0.000;0;0.279;0.034;0;0.863;0.001;0;0.040;0.115;1;0.037;0.119;1;0.011;0.174;1;0.700;0.004;0;0.732;0.004;0;0.020;0.144;1;0.095;0.078;0;0.020;0.144;1
8;accueillant;friendly;11;3;0.90;1.82;5.40;4.89;5.50;5.10;5.00;5.44;5.16;5.30;5.21;5.22;2.00;3.00;2.20;2.70;1.70;2.11;2.47;2.45;1.89;2.28;4.60;4.56;6.20;4.40;6.30;5.67;4.58;5.30;6.00;5.29;0.956;0.002;0;0.715;0.003;0;0.608;0.019;0;0.272;0.049;0;0.057;0.068;0;0.735;0.012;0;0.024;0.134;1;0.044;0.076;1;0.196;0.061;0;0.751;0.003;0;0.356;0.024;0;0.910;0.000;0;0.878;0.001;0;0.948;0.000;0;0.349;0.026;0;0.891;0.001;0;0.969;0.000;0;0.458;0.016;0;0.901;0.000;0;0.067;0.092;0;0.533;0.011;0;0.113;0.072;0;0.062;0.099;0;0.426;0.019;0;0.220;0.043;0;0.303;0.030;0;0.919;0.000;0;0.175;0.052;0;0.086;0.082;0;0.101;0.075;0;0.010;0.178;1;0.518;0.012;0;0.574;0.009;0;0.119;0.068;0;0.007;0.188;1;0.181;0.051;0
9;accusateur;accusing;10;4;0.12;0.81;2.10;2.67;2.40;3.00;3.40;2.78;2.37;2.70;3.11;2.72;5.30;4.33;5.70;5.20;5.90;5.44;4.84;5.45;5.68;5.33;3.90;4.56;5.30;3.00;5.40;4.89;4.21;4.15;5.16;4.50;0.387;0.036;0;0.661;0.004;0;0.394;0.035;0;0.013;0.155;1;0.008;0.127;1;0.618;0.018;0;0.248;0.052;0;0.182;0.034;0;0.080;0.092;0;0.505;0.013;0;0.223;0.042;0;0.972;0.000;0;0.158;0.058;0;0.955;0.000;0;0.232;0.042;0;0.483;0.014;0;0.984;0.000;0;0.273;0.034;0;0.013;0.165;1;0.004;0.209;1;0.340;0.026;0;0.010;0.182;1;0.029;0.133;1;0.417;0.019;0;0.465;0.015;0;0.121;0.067;0;0.942;0.000;0;0.905;0.000;0;0.213;0.044;0;0.029;0.129;1;0.177;0.053;0;0.914;0.000;0;0.386;0.022;0;0.129;0.065;0;0.035;0.121;1;0.171;0.053;0
10;accusé;accused;6;3;1.51;1.01;2.60;2.44;1.80;2.70;1.80;2.11;2.53;2.25;1.95;2.24;4.90;4.89;5.90;5.10;6.00;5.78;4.89;5.50;5.89;5.43;3.60;4.11;5.60;3.10;5.30;5.44;3.84;4.35;5.37;4.52;0.257;0.051;0;0.206;0.031;0;0.295;0.046;0;0.029;0.128;1;0.247;0.026;0;0.525;0.024;0;0.052;0.107;0;0.225;0.028;0;0.033;0.123;1;0.445;0.017;0;0.298;0.031;0;0.143;0.060;0;0.059;0.101;0;0.790;0.002;0;0.427;0.019;0;0.419;0.019;0;0.102;0.075;0;0.419;0.019;0;0.114;0.070;0;0.285;0.033;0;0.299;0.031;0;0.009;0.185;1;0.747;0.003;0;0.770;0.003;0;0.272;0.034;0;0.151;0.058;0;0.413;0.019;0;0.433;0.018;0;0.120;0.068;0;0.021;0.143;1;0.023;0.142;1;0.611;0.008;0;0.776;0.002;0;0.085;0.082;0;0.049;0.106;1;0.028;0.130;1
