Word;Subjective Frequency;AoA;Imageability
acte;4.357142857;9.419354839;3.2
âge;5.428571429;4.784204672;3.266666667
aide;5.071428571;5.775;3.3
aigle;3.214285714;6.457174638;6.733333333
aigre;3.035714286;10.625;3.310344828
ail;4.214285714;7.884315907;6.566666667
aile;3.821428571;5.498331479;6.333333333
air;4.857142857;6.03003337;3.6
aise;3.571428571;10.7753059;1.703703704
algue;2.928571429;7.885714286;6.5
ambre;3.071428571;11.5650723;4.166666667
âme;3.5;9.954393771;2.366666667
ample;3.714285714;9.957142857;3.766666667
an;4.928571429;4.810714286;2.310344828
ancre;3.178571429;8.886540601;5.466666667
âne;3.5;4.956618465;6.8
ange;4.107142857;6.461624027;6.533333333
angle;3.892857143;8.391546162;5.266666667
août;3.535714286;5.993325918;4.1
apte;3.678571429;10.49721913;2.266666667
arbre;4.714285714;3.892102336;6.833333333
arc;3.392857143;6.996662959;6.233333333
arche;3;9.276974416;5.233333333
arme;4.035714286;7.104560623;6.333333333
art;4.214285714;8.402380952;4.333333333
as;3.392857143;7.663095238;5.066666667
asthme;3.142857143;10.19911012;4.035714286
astre;2.75;10.2836485;4.2
au;6.892857143;5.569521691;1.066666667
aube;3.25;9.276974416;4.333333333
autre;6.357142857;5.850945495;1.9
aux;6.607142857;6.319243604;1.133333333
axe;4;9.958843159;3.6
bac;4.142857143;10.13809524;5.7
bâche;3.214285714;8.692857143;5.9
badge;4.107142857;9.318131257;5.766666667
bague;3.892857143;5.675194661;6.866666667
baie;3.464285714;9.744160178;4.866666667
baigne;3.821428571;6.438095238;3.866666667
bail;3.857142857;13.20595238;3
bain;4.714285714;4.174638487;6.6
baisse;4.714285714;6.713014461;2.733333333
bal;3.678571429;7.640711902;6.033333333
balle;4.642857143;4.032258065;6.666666667
banc;4.571428571;5.319243604;6.5
bande;4.75;7.884315907;4.666666667
banque;4.678571429;8.344827586;6.1
bar;4.821428571;7.561735261;6.4
barbe;3.964285714;5.535038932;6.8
barque;3.357142857;7.107142857;6.433333333
barre;4.392857143;6.606229143;5.833333333
bas;5.5;5.0378198;3.2
base;4.178571429;8.844047619;3.233333333
basque;3.285714286;12.14431673;2.827586207
basse;4.892857143;6.479761905;3.333333333
battre;4.321428571;6.288095238;3.366666667
baume;3.964285714;11.07279693;4.4
beau;5.214285714;4.497219132;4.166666667
bec;3.464285714;5.35483871;6.566666667
bêche;2.714285714;9.275862069;4.833333333
beige;3.714285714;6.496106785;5.133333333
bel;3.964285714;7.704115684;2.344827586
berge;3.714285714;10.70411568;4.333333333
bête;4.464285714;4.855394883;5.133333333
beurre;4.107142857;4.822024472;6.666666667
biais;4.821428571;12.41268076;1.655172414
bible;4.25;8.428253615;5.866666667
biche;3.821428571;5.919911012;6.5
bien;4.714285714;4.627380952;2.266666667
bière;4.25;9.27919911;6.766666667
bile;4.392857143;11.65714286;3.666666667
bille;3.928571429;5.710789766;6.8
bip;3.678571429;8.58452381;4.3
bis;3.5;9.179087875;2.206896552
bise;4.642857143;6.419354839;4.666666667
blague;4.321428571;6.456062291;4.866666667
blâme;3.892857143;11.77641824;2.466666667
blanc;5.25;5.419354839;5.866666667
blanche;4.25;4.56618465;6.066666667
blé;4.357142857;6.529477197;6.433333333
blême;4.178571429;12.35833333;2.071428571
bleu;4.285714286;3.81868743;6.166666667
bloc;3.642857143;7.529477197;4.7
blond;5.071428571;5.628571429;6.4
blues;3.714285714;11.4538376;3.733333333
boeuf;4.642857143;6.458286986;6.7
boire;4.892857143;3.957730812;5.2
bois;4.785714286;5.459399333;6.466666667
