a	0.128
abajo	0.196
abandonado	0.506
abandonar	0.658
abandono	0.622
abatimiento	0.902
abdomen	0.764
abecedario	0.386
abeja	0.33
abejas	0.302
abeto	0.666
abierta	0.314
abierto	0.224
abismo	0.83
abnegación	0.98
abogado	0.744
abono	0.68
aborrecimiento	0.896
aborto	0.868
abrasador	0.814
abrazo	0.186
abrigo	0.298
abril	0.386
abrir	0.218
abrumado	0.854
absoluta	0.756
absolutamente	0.784
absoluto	0.792
absorción	0.776
abstracción	0.952
abstracto	0.828
absurdo	0.726
abuela	0.172
abuelo	0.132
abuelos	0.196
abundancia	0.684
abundante	0.7
aburrida	0.408
aburrido	0.382
aburrimiento	0.438
aburrir	0.428
abuso	0.806
acá	0.484
acaba	0.442
acabado	0.44
acaban	0.458
acabar	0.246
acabo	0.446
acabó	0.414
academia	0.704
académico	0.818
acampada	0.616
acantilado	0.686
acaso	0.664
acceder	0.736
accesorio	0.776
accidente	0.55
acción	0.582
acciones	0.612
acecho	0.806
aceite	0.45
aceituna	0.342
acelgas	0.584
acento	0.65
aceptación	0.768
aceptar	0.556
acercar	0.46
acero	0.692
ácido	0.678
acierto	0.548
aclaración	0.786
acogedor	0.706
acompañada	0.5
acompañado	0.436
aconsejar	0.762
acontecimiento	0.82
acordeón	0.578
acordes	0.748
acoso	0.91
acostarse	0.296
acre	0.964
actitud	0.742
activación	0.854
activar	0.642
actividad	0.45
actividades	0.456
acto	0.716
actor	0.544
actores	0.592
actos	0.66
actriz	0.556
actuación	0.61
actual	0.764
actualidad	0.724
actualmente	0.734
actuar	0.54
acuarela	0.472
acuario	0.552
acuerdas	0.472
acuerdo	0.67
acurrucarse	0.456
acusación	0.736
acústica	0.83
adán	0.504
adecuado	0.714
adelante	0.462
adelgazar	0.682
ademán	0.918
además	0.548
adhesión	0.916
adhesiva	0.594
adicto	0.788
adinerado	0.744
adiós	0.074
adivinar	0.478
adjetivo	0.708
administración	0.876
admiración	0.752
admirado	0.782
admirar	0.702
adobado	0.814
adolescencia	0.78
adolescente	0.752
adorable	0.572
adoración	0.73
adornar	0.458
adorno	0.452
adosado	0.772
adquirir	0.744
adquisición	0.884
adulto	0.554
adverbio	0.772
advertencia	0.64
aeroplano	0.766
aeropuerto	0.544
afecta	0.704
afectar	0.698
afecto	0.756
afeitar	0.576
afianzar	0.91
afición	0.754
afilada	0.52
afilado	0.54
afinidad	0.794
afirmación	0.698
aflicción	0.958
afligido	0.904
afortunadamente	0.786
afortunado	0.69
áfrica	0.68
agacharse	0.316
agarrar	0.326
agencia	0.782
agenda	0.666
ágil	0.668
agilidad	0.702
agitación	0.806
aglomeración	0.954
agobiado	0.724
agobio	0.836
agonía	0.868
agosto	0.378
agotamiento	0.726
agradable	0.648
agradecer	0.454
agradecido	0.612
agradecimiento	0.64
agrado	0.716
agrario	0.786
agresión	0.738
agresiva	0.63
agresividad	0.676
agresivo	0.54
agricultor	0.58
agricultura	0.596
agrio	0.606
agrónomo	0.966
agrupación	0.758
agua	0.094
aguanieve	0.804
aguantar	0.514
aguante	0.722
aguardiente	0.884
agudeza	0.878
agudo	0.71
aguijón	0.658
águila	0.422
aguilar	0.83
aguja	0.368
agujero	0.334
agusto	0.658
ahí	0.214
ahogarse	0.428
ahora	0.348
ahorrar	0.612
ahorro	0.698
aire	0.338
ajedrez	0.598
ajo	0.382
al	0.326
alacena	0.81
aladino	0.542
alambre	0.616
alarma	0.52
alas	0.262
alba	0.728
albañil	0.546
albaricoque	0.55
alberto	0.298
albornoz	0.6
alboroto	0.648
alborozo	0.966
álbum	0.54
alcachofa	0.716
alcalde	0.702
alcalina	0.834
alcantarilla	0.618
alcanzar	0.564
alcoba	0.782
alcohol	0.63
alcohólica	0.852
alcohólico	0.718
alcornoque	0.77
alegrar	0.4
alegre	0.384
alegría	0.33
alejar	0.548
alemán	0.592
alemania	0.598
alergia	0.552
alérgica	0.67
alerta	0.602
alférez	0.932
alfiler	0.474
alfombra	0.302
algo	0.34
algodón	0.414
alguien	0.494
alguna	0.36
algunas	0.426
alguno	0.456
algunos	0.44
alianza	0.778
alicante	0.728
alicate	0.67
alicates	0.64
alimentar	0.41
alimento	0.424
alimentos	0.388
alivio	0.702
