abierto	6.1
agua	7
agua	7
aire	4.8
almorzar	6.4
antiguo	5.7
oído	6.8
boca	6.9
cien	6.5
cien	6.5
cierre	5.2
cierto	3
cierto	3
cubrir	5.2
comprimir	4.4
confianza	3.6
cuerno	6.8
cuerpo	6.8
deuda	3.9
diez	6.6
deficiencia	3.4
diente	6.9
diente	6.9
diente	6.9
desierto	6.8
dedo	7
dividir	5
dividir	5
duda	3.4
doble	5
doble	5
dormir	6.8
envuelto	5.7
escuela	6.6
estiércol	6.4
fiebre	5.4
fiesta	6.8
fuego	6.8
fuego	6.8
fuerte	5.5
fuerza	4.4
fuerza	4.4
frente	6.6
hierba	6.8
hierba	6.8
hostal	5.9
hierro	6.5
huerta	6.9
huerta	6.9
huésped	5.3
huevo	7
isla	6.8
invierno	6.3
juicio	6
joven	6.3
lágrima	6.8
leche	7
leche	7
lado	4.6
lenteja	6.9
libre	4.2
lengua	6.9
lengua	6.9
maestro	6.1
maestro	6.1
marido	5.8
madre	6.7
madre	6.7
merienda	6.2
mueble	6.9
muerte	4.6
mover	5.9
nadar	6.6
nacer	5.7
nacimiento	5.8
navidad	6.7
niebla	6.3
noche	6.9
nombrar	3.9
nombre	4.8
nuevo	5.1
nueve	6.6
ocho	6.5
ojo	7
ofrecer	4.7
parto	6.5
padre	6.6
pecho	6.9
pie	7
piel	6.8
pintura	6.6
pez	7
pliego	4.2
pueblo	6.5
pie	7
puerco	6.4
puerta	6.9
poder	3.9
prisión	6.7
pudrir	5.2
riñón	6.4
siervo	6.2
selva	6.8
suelo	6.8
sueldo	5
toro	7
toro	7
tienda	6.6
tiniebla	5.1
tierno	5
tierra	6.9
trueno	6.4
viejo	6.1
viento	6
vientre	6.4
ver	4.8
ver	4.8
vida	4.2
vuelo	5.9
abertura	6
acueducto	7
acuífero	6.4
aéreo	6.1
almuerzo	7.3
anticuario	6
auditorio	7.6
bucal	5.8
centena	5.3
centenario	4.8
cerradura	7.7
certero	4
certeza	3.8
cobertura	5.5
compresión	4.4
confidente	4.8
cornudo	5.7
corporal	5.5
débito	4
decena	5.7
defecto	4.4
dentadura	7.9
dentífrico	7.5
dentista	7.8
desértico	6.9
digital	5.4
división	6
divisor	4.9
dubitativo	4.5
dúplex	6.9
duplicado	5.5
durmiente	6.1
envoltorio	7.1
escolar	6.5
estercolero	6.8
febril	5
festejo	6.3
fogata	7.3
fogón	7.6
fortachón	7.3
forzoso	5.1
forzudo	6.7
frontal	6.4
herbívoro	5.8
herbolario	7.2
hospital	7.8
herrero	7.2
hortelano	5.3
horticultura	5.7
hospedaje	5.2
oval	4.6
insular	5
invernal	6
judicial	5.1
juventud	6.3
lacrimal	6.4
lactante	6.1
láctea	5.4
lateral	6
lenticular	5.3
liberado	5.4
lingual	5.7
lingüista	4.7
magisterio	5.1
magistral	4.8
marital	5.1
maternal	5.6
materno	5.3
merendar	6.5
mobiliario	6.9
moribundo	6.8
motricidad	4.5
natación	7.1
nativo	5
natalidad	5
natividad	4.9
neblina	7.3
nocturno	7
nominación	4.8
nómina	5.1
novedad	5.2
noveno	6
octavo	5.1
oculista	7.2
oferta	5.9
paritorio	6.9
paterno	5.5
pectoral	7.1
pedicura	7.1
peletero	6
pictórico	5.2
piscis	5.3
plegable	6.4
poblado	6.9
podólogo	6.7
porquero	6.3
portal	7.3
potente	5.1
preso	7.4
putrefacto	6.4
renal	4.8
servil	4.8
silvestre	5.8
solar	6.1
sólido	6.8
tauro	5.2
tauromaquia	5.7
tendero	7.1
tenebroso	5.7
ternura	5.2
terrero	5.9
tronido	5.6
vejez	6.6
ventoso	6
ventral	5.2
vidente	7
visible	6
vital	4.7
volante	7.8
acceder	5.5
actual	5.7
actuar	6.3
agujerear	6.9
amar	5.7
ambular	3.8
andar	8
animal	7.5
apartar	6.1
aplicar	5.3
arca	6.7
