abandon	3.98
abat-jour	2.22
abattoir	2.43
abbé	2.08
abdomen	3.29
abeille	4.12
abîme	2.43
aboiement	3.00
abondance	3.72
abonné	3.81
abonnement	4.02
abricot	2.86
abstinence	3.12
abstraction	3.01
abus	4.09
académie	4.06
accélérateur	3.57
accent	4.95
acceptation	4.11
accès	4.68
accession	2.70
accessoire	4.69
accident	5.00
accord	4.79
accordéon	2.60
accouplement	3.30
accroc	2.47
accusation	3.91
accusé	4.32
achat	4.91
acide	3.97
acier	3.44
acquisition	3.36
acte	4.26
acteur	4.73
action	5.08
activation	3.91
actualité	4.91
adage	1.50
adaptation	4.09
adhésion	2.87
adieu	3.76
adjectif	4.38
adjoint	3.94
administrateur	3.95
administration	4.54
admiration	3.87
admission	4.80
adolescente	5.02
adoption	4.12
adresse	5.75
adverbe	3.88
adversaire	4.11
aéroport	4.48
affection	4.43
affichage	4.12
affirmation	4.09
affluence	2.25
affolement	2.65
âge	5.95
agenda	5.19
agente	3.69
agilité	3.38
agitation	3.69
agneau	3.18
agonie	2.76
agrafeuse	3.26
agressivité	4.06
agriculteur	3.77
agriculture	3.77
agrumes	3.08
aide	5.65
aïeul	1.72
aigle	3.18
aigre	2.57
ail	4.27
aile	4.05
aimant	3.73
aisance	2.50
ajout	3.84
ajustage	2.58
album	4.65
alerte	4.19
algèbre	3.55
alibi	2.42
alignement	3.56
aliment	4.63
alimentation	4.53
allée	3.95
allégresse	2.26
alligator	2.79
allocution	2.32
allure	3.87
allusion	3.19
altitude	3.44
amande	4.19
amante	2.44
amas	2.08
amateur	3.87
ambassadeur	3.61
ambiance	4.04
ambiguïté	3.30
ambulance	4.51
âme	4.22
aménagement	3.28
amende	4.10
amertume	2.27
amnésie	3.12
amortisseur	2.50
ampère	2.34
ampleur	3.65
amplificateur	2.08
amplitude	3.52
ampoule	4.04
analogie	3.37
ananas	4.12
anarchie	2.66
anatomie	3.74
ancêtre	3.46
âne	2.80
angle	4.38
angoisse	3.66
anguille	2.20
animation	3.87
anneau	3.83
année	5.60
annexe	3.93
annonce	5.08
annuaire	3.95
antichambre	1.69
anticipation	3.62
antipathie	2.73
antithèse	2.66
antre	1.60
anxiété	4.39
aorte	2.23
aperçu	4.44
apéritif	3.43
aphrodisiaque	2.34
aplomb	2.14
apogée	2.38
appareil	4.81
appartement	5.88
appât	2.50
appel	5.52
appétit	5.23
application	4.33
apport	2.81
appréciation	4.15
apprentissage	4.61
approche	4.61
appui	4.35
aptitude	3.77
aquarelle	2.63
araignée	4.56
arbalète	1.37
arbre	5.45
arbuste	3.19
arc	3.22
archer	2.13
archet	2.09
archipel	1.91
architecture	3.52
ardeur	2.70
arène	2.47
arête	3.41
argile	2.94
argot	1.72
argument	4.93
armistice	2.08
armoire	4.74
armure	3.13
arôme	3.18
arrivée	5.34
arrosoir	3.27
arsenal	2.04
artère	3.61
artichaut	2.26
articulation	4.01
artillerie	2.20
artisan	3.00
ascension	2.94
asile	2.74
aspect	4.45
asperge	3.52
asphalte	3.62
aspirateur	4.55
aspiration	3.43
aspirine	4.52
assaut	2.60
assemblée	3.77
assiette	5.54
assistanat	3.41
assistance	4.02
assistant	4.50
association	4.51
astronaute	3.27
astuce	2.74
atmosphère	4.02
atome	3.55
atout	3.40
âtre	1.53
attachement	4.23
attaque	4.53
atteinte	4.02
attelage	2.39
attendrissement	2.34
attirance	3.88
attraction	4.35
attrape	4.47
attribut	3.35
attribution	3.33
aubergine	2.43
audace	2.94
audience	4.00
audition	4.08
auge	1.66
augmentation	4.77
augure	1.88
aune	1.20
aura	2.75
aurore	2.94
auteure	4.11
automate	2.30
automobile	5.09
autonomie	4.32
autorisation	4.19
autruche	2.76
auvent	1.92
avalanche	3.27
avant	6.08
avantage	5.01
avatar	1.66
avenir	5.23
avenue	4.40
averse	2.85
avertissement	4.51
aveu	2.98
avion	4.83
aviron	2.52
avis	4.41
avoine	3.58
avortement	4.02
avril	5.34
axe	3.27
azote	2.77
babillard	3.45
bactérie	4.48
bagage	4.26
bagarre	3.23
bagatelle	2.26
bagnole	2.45
bague	4.80
bail	3.11
bain	5.56
baiser	5.01
balade	3.22
balai	4.40
balance	4.44
balançoire	3.68
balcon	4.38
baleine	3.42
balise	1.89
balle	4.78
ballet	3.61
ballon	4.49
baluchon	2.08
bambin	2.14
bambou	2.79
banane	5.16
bande	3.77
bandelette	2.19
banderole	2.71
banjo	2.43
banlieue	3.52
bannière	3.09
banque	5.41
banquet	3.43
baptême	3.55
baraque	2.41
barbe	4.33
barbecue	4.73
barbelé	2.20
barbiche	2.36
barge	1.79
baril	2.77
baron	1.85
baronne	1.92
barque	2.46
barrage	3.47
barrette	3.78
barricade	2.90
barrière	4.08
bascule	2.87
basket-ball	4.74
basse	3.68
bassine	2.00
bataille	4.44
bataillon	2.63
bateau	4.63
bâtisse	4.16
bâtonnet	3.40
battant	2.83
baume	2.77
bavure	2.22
bazar	2.25
bec	4.84
bedon	3.50
bègue	1.91
beignet	2.61
belette	2.08
belge	2.83
bélier	3.04
belvédère	2.07
bémol	2.62
bénéfice	4.20
benne	1.43
béquille	3.30
béret	2.35
berge	1.91
besogne	2.20
bestiole	2.56
bêtise	3.52
béton	3.45
betterave	3.23
beurre	5.62
biais	3.60
biberon	2.95
bible	3.86
biche	2.48
bicyclette	4.69
bidon	2.26
bien-être	4.85
bienfait	3.70
bigoudi	2.26
bijouterie	3.56
bijoutière	2.75
binette	1.87
biographie	4.15
biscotte	1.85
bise	2.63
bisou	4.26
blague	5.13
blaireau	1.79
blanc	5.61
blason	1.81
blatte	1.47
blé	4.18
blessé	4.42
blessure	4.25
blette	1.67
bleuet	4.14
blocage	3.58
blouse	4.19
blouson	2.95
boa	2.07
bobine	2.83
boeuf	4.54
bois	4.83
boîtier	2.95
bombarde	2.48
bombe	4.02
bon	6.21
bonbon	5.21
bonbonne	2.64
bond	2.84
bonheur	5.31
bonne	5.70
bonté	3.66
bonze	1.55
boomerang	2.59
bordée	2.75
bordereau	2.14
bordure	3.52
borne	2.58
bosquet	1.67
bottin	3.30
bottine	3.22
bouche	5.73
