a	58.65
a capella	0.07
a cappella	0.07
a contrario	0.27
a fortiori	0.88
a giorno	0.27
a l'instar	0.00
a posteriori	0.20
a priori	3.85
a priori	0.47
aa	0.00
ab absurdo	0.07
ab initio	0.07
ab ovo	0.27
abaca	0.00
abaissant	0.27
abaisse	0.00
abaisse-langue	0.14
abaissement	2.16
abaisser	18.04
abaissé	0.74
abalone	0.07
abandon	27.36
abandonner	128.45
abandonnique	0.07
abandonné	24.39
abaque	0.07
abasourdi	2.64
abasourdir	2.97
abasourdissant	0.07
abat	1.01
abat-jour	8.24
abat-son	0.27
abatage	0.07
abatis	0.88
abattage	1.28
abattant	0.61
abattement	2.64
abatteur	0.27
abattis	1.08
abattoir	4.66
abattre	50.61
abattu	7.09
abattu	1.42
abbatial	0.61
abbatiale	0.14
abbaye	3.78
abbé	33.51
abc	0.00
abcès	3.31
abdication	1.96
abdiquer	2.77
abdomen	1.55
abdominal	0.74
abdos	0.00
abducteur	0.00
abduction	0.00
abeille	9.86
aber	0.00
aberrant	2.50
aberration	4.46
abhorrer	1.35
abhorré	0.27
abject	3.92
abjectement	0.07
abjection	2.30
abjuration	0.47
abjurer	1.28
abkhaze	0.07
ablatif	0.14
ablation	1.35
able	0.14
ablette	0.95
ablution	1.55
abnégation	3.58
aboi	3.58
aboiement	5.95
aboli	2.57
abolir	9.32
abolition	1.49
abolitionniste	0.07
abolitionniste	0.07
abominable	11.22
abominablement	0.68
abomination	4.53
abominer	0.54
abondamment	4.93
abondance	9.39
abondant	7.03
abonder	4.59
abonnement	1.62
abonner	2.09
abonné	0.00
abonné	2.23
abord	19.05
abordable	0.20
abordage	1.49
aborder	33.18
abordé	0.20
aborigène	0.07
aborigène	0.14
abornement	0.07
abortif	0.34
aboucher	0.81
abouler	0.61
aboulie	0.14
aboulique	0.07
about	0.47
abouti	0.20
aboutir	25.81
aboutissant	0.95
aboutissement	4.05
aboyant	0.20
aboyer	11.82
aboyeur	0.14
aboyeur	0.61
abracadabra	0.27
abracadabrant	0.68
abrasif	0.27
abrasif	0.41
abrasion	0.14
abraxas	0.00
abreuvage	0.07
abreuver	6.22
abreuvoir	3.92
abreuvé	0.14
abri	56.76
abri-refuge	0.07
abribus	0.14
abricot	0.68
abricot	2.50
abricotier	0.41
abricotine	0.07
abritant	0.00
abriter	26.22
abrité	1.08
abrogation	0.14
abroger	0.34
abrogé	0.00
abrupt	7.43
abrupt	0.47
abruptement	2.03
abruti	4.66
abruti	6.69
abrutir	6.01
abrutissant	0.41
abrutissement	1.42
abrutisseur	0.07
abréger	4.86
abrégé	0.41
abrégé	0.54
abréviatif	0.07
abréviation	0.95
abscisse	0.00
abscission	0.07
abscons	0.68
absence	76.28
absent	29.80
absent	5.81
absenter	6.01
absentéisme	0.20
absentéiste	0.00
absentéiste	0.00
abside	1.62
absidiole	0.07
absinthe	2.91
absolu	34.39
absolu	7.23
absolument	63.45
absolution	2.50
absolutisme	0.68
absolvant	0.14
absorbant	1.35
absorbant	0.14
absorber	28.65
absorbeur	0.00
absorbé	3.72
absorption	2.03
absoudre	3.72
absous	0.68
absoute	0.07
absoute	0.14
abstenir	8.78
abstention	1.28
abstentionniste	0.14
abstinence	1.62
abstinent	0.00
abstraction	2.97
abstraire	3.18
abstrait	11.35
abstrait	1.35
abstraitement	0.34
abstrus	0.61
absurde	30.95
absurde	4.93
absurdement	3.72
absurdité	6.28
abus	8.58
abuser	14.26
abuseur	0.00
abusif	1.82
abusivement	1.15
abusé	0.74
abyme	0.07
abyssal	0.74
abysse	0.41
abyssin	0.20
abyssin	0.14
abyssinien	0.00
abâtardir	0.41
abécédaire	0.07
abêti	0.27
abêtir	1.28
abêtissement	0.54
abîme	20.61
abîmer	21.69
acabit	1.62
acacia	6.35
acadien	0.00
acadien	0.07
acadienne	0.00
académicien	1.55
académie	9.46
académique	1.15
académiquement	0.14
académisme	0.27
acagnarder	0.74
acajou	1.62
acajou	5.95
acanthe	0.61
acariâtre	1.55
accablant	5.41
accablement	3.72
accabler	21.28
accablé	5.47
accalmie	3.72
accaparant	0.07
accaparer	3.99
accapareur	0.00
accastillage	0.20
accelerando	0.14
accent	45.54
accenteur	0.00
accentuation	0.14
accentuer	16.15
accentué	1.55
acceptable	4.39
acceptant	0.14
acceptation	4.39
accepter	144.66
acception	0.47
accessibilité	0.00
accessible	5.74
accession	1.22
accessit	0.07
accessoire	2.84
accessoire	7.30
accessoirement	0.88
accessoiriser	0.00
accessoiriste	0.14
accident	44.80
accidentel	3.45
accidentellement	0.81
accidenter	0.27
accidenté	1.42
accidenté	0.61
acclamation	4.66
acclamer	5.81
acclimatation	0.81
acclimatement	0.14
acclimater	1.96
accointance	0.88
accolade	2.23
accolement	0.07
accoler	2.70
accommodant	0.47
accommodation	0.41
accommodement	1.01
accommoder	14.19
accompagnant	0.27
accompagnateur	1.01
accompagnement	2.57
accompagner	124.46
accompagné	1.35
accompli	10.54
accompli	0.20
accomplir	55.20
accomplissement	4.46
accord	136.15
accordailles	0.07
accordement	0.07
accorder	67.84
accordeur	0.61
accordo	0.07
accordé	1.08
accordéon	5.47
accordéoniste	1.69
accore	0.14
accort	0.68
accostage	0.88
accostant	0.07
accoster	4.19
accotement	1.42
accoter	2.43
accouchant	0.00
accouchement	3.92
accoucher	7.43
accoucheur	0.81
accouchée	1.15
accouder	17.70
accoudoir	5.20
accoudé	0.41
accouplement	2.50
accoupler	3.24
accourir	19.05
accoutrement	2.70
accoutré	0.41
accoutumance	1.28
accoutumer	9.12
accoutumé	5.00
accro	0.68
accro	0.07
accroc	3.11
accrochage	1.49
accrochant	0.20
accroche	0.27
accroche-coeur	0.74
accrocher	99.93
accrocheur	0.34
accroché	3.51
accroire	0.54
accroissement	1.28
accroupi	8.24
accroupir	24.93
accroupissement	0.20
accroître	11.15
accru	3.04
accrue	0.07
accréditation	0.00
accréditer	1.55
accréditif	0.07
accrédité	0.27
accrétion	0.00
accu	0.34
accueil	16.42
accueillant	5.07
accueillir	54.73
acculer	4.93
acculturation	0.00
acculé	0.27
accumulateur	0.14
accumulation	3.78
accumuler	24.53
accusateur	1.42
accusateur	1.28
accusatif	0.07
accusation	8.85
accusatoire	0.00
accuser	39.93
accusé	2.16
accusé	11.69
accès	23.78
accéder	12.97
accélérant	0.00
accélérateur	0.14
accélérateur	3.51
accélération	3.11
accélérer	17.97
accéléré	2.03
accéléré	0.74
ace	0.00
acellulaire	0.00
acerbe	1.22
acerbité	0.07
acetabulum	0.00
achalandage	0.07
achalandé	0.34
achaler	0.00
achards	0.00
acharnement	8.24
acharner	22.64
acharné	5.41
achat	16.96
ache	0.20
acheminement	0.47
acheminer	6.15
achetable	0.14
acheter	148.38
acheteur	5.47
achever	81.42
achevé	6.69
achillée	0.00
achondroplasie	0.00
achoppement	0.14
achopper	0.81
achèvement	1.82
achélème	1.69
acid jazz	0.00
acide	8.31
acide	4.80
acidité	0.95
acidocétose	0.00
acidose	0.00
acidulé	1.55
acier	34.46
aciérie	0.27
acmé	0.00
acné	0.88
acolyte	1.96
acompte	1.15
aconit	0.34
acoquiner	1.01
acouphène	0.00
acoustique	0.81
acoustique	0.34
acqua-toffana	0.07
acquiescement	2.84
acquiescer	12.43
acquis	6.28
acquis	1.69
acquisition	3.78
acquit	2.23
acquittement	0.34
acquitter	6.82
acquitté	0.34
acquitté	0.07
acquéreur	1.08
acquérir	29.66
acquêt	0.20
acra	0.14
acre	0.41
acrimonie	0.81
acrimonieusement	0.07
acrimonieux	0.14
acrobate	4.12
acrobatie	2.57
acrobatique	1.01
acrobatiquement	0.07
acrocéphale	0.07
acromion	0.14
acronyme	0.07
acrophobie	0.00
acropole	0.81
acrostiche	0.00
acrotère	0.07
acrylique	0.41
acrylique	0.14
acrylonitrile	0.00
acré	0.20
acte	57.30
acteur	38.31
actif	13.65
actif	1.49
actine	0.00
action	87.43
action painting	0.07
actionnaire	0.74
actionnariat	0.00
actionnement	0.07
actionner	5.61
actionneur	0.00
activant	0.07
activateur	0.00
activation	0.07
activement	3.51
activer	6.62
activisme	0.20
activiste	0.47
activiste	0.54
activité	38.92
activé	0.07
actuaire	0.00
actualisation	0.07
actualiser	0.34
actualité	8.72
actuariel	0.00
actuation	0.00
actuel	20.68
actuellement	16.69
acuité	3.18
acumen	0.07
acuponcteur	0.00
acuponcture	0.00
acupuncteur	0.07
acupuncture	0.41
acéphale	0.14
acéphale	0.20
acéré	2.43
acétate	0.14
acétique	0.07
acétone	0.27
acétylcholine	0.00
acétylsalicylique	0.00
acétylène	1.96
ad hoc	0.81
ad infinitum	0.00
ad libitum	0.14
ad limina	0.07
ad majorem dei gloriam	0.14
ad nutum	0.07
ad patres	0.27
ad vitam aeternam	0.20
ada	0.00
adage	0.74
adagio	0.07
adagio	0.34
adamantin	0.20
adamique	0.14
adaptabilité	0.00
adaptable	0.20
adaptateur	0.41
adaptatif	0.07
adaptation	4.66
adapter	12.57
addenda	0.00
addendum	0.07
addiction	0.07
additif	0.00
additif	0.14
addition	9.53
additionnel	0.34
additionner	2.64
adducteur	0.00
adduction	0.14
adent	0.00
adepte	2.84
adhérence	0.54
adhérent	0.27
adhérent	1.01
adhérer	5.07
adhésif	0.81
adhésif	0.14
adhésion	6.55
adieu	38.04
adieu	7.36
adipeux	1.28
adipique	0.00
adiposité	0.07
adja	1.01
adjacent	0.95
adjectif	0.14
adjectif	3.51
adjoindre	2.97
adjoint	2.16
adjoint	5.14
adjonction	0.41
adjudant	22.23
adjudant-chef	2.70
adjudant-major	0.00
adjudication	0.20
adjuger	0.68
adjupète	0.14
adjuration	0.34
adjurer	2.97
adjutrice	0.07
admettre	59.46
administrant	0.07
administrateur	4.73
administratif	11.08
administratif	0.41
administration	26.42
administrativement	0.14
administrer	8.04
administré	1.62
administré	0.61
admirable	31.55
admirablement	4.73
admirateur	0.27
admirateur	5.14
admiratif	6.96
admiration	32.70
admirativement	0.20
admirer	68.18
admis	1.96
admis	0.27
admissibilité	0.07
admissible	0.61
admissible	0.07
admission	1.82
admixtion	0.07
admonestation	0.47
admonester	0.61
admonition	0.20
ado	0.20
adobe	0.00
adolescence	13.78
adolescent	7.43
adolescent	25.20
adon	0.00
adonc	0.07
adoncques	0.07
adonies	0.07
adonis	0.00
adonner	5.74
adoptable	0.07
adoptant	0.07
adoptant	0.07
adopter	29.86
adoptif	3.38
adoption	2.91
adopté	1.28
adopté	0.61
adorable	7.97
adorablement	0.27
adorant	0.20
adorateur	1.82
adoration	5.07
adorer	44.59
ados	0.27
adosser	16.89
adossé	0.34
adoubement	0.27
adouber	0.34
adouci	0.34
adoucir	11.01
adoucissant	0.14
adoucissant	0.00
adoucissement	0.61
adoucisseur	0.14
adp	0.00
adressage	0.00
adresse	49.80
adresser	98.04
adret	0.07
adriatique	0.14
adroit	4.86
adroitement	1.96
adrénaline	0.68
adulateur	0.07
adulateur	0.07
adulation	0.81
aduler	1.62
adultat	0.14
adulte	11.01
adulte	27.64
adultère	1.62
adultère	3.65
adultération	0.07
adultérin	0.34
advenir	9.39
adventiste	0.00
adventiste	0.00
adverbe	0.61
adversaire	25.14
adverse	4.32
adversité	2.16
adénine	0.00
adénocarcinome	0.00
adénome	0.07
adénopathie	0.00
adénosine	0.00
adénovirus	0.00
adéquat	4.80
adéquatement	0.00
adéquation	0.34
affabilité	1.28
affable	3.78
affablement	0.20
affabulation	1.22
affabuler	0.27
affacturage	0.00
affadir	1.35
affadissement	0.20
affaibli	2.57
affaiblir	7.84
affaiblissant	0.00
affaiblissement	1.49
affaire	253.38
affairement	0.54
affairer	13.38
affairisme	0.07
affairiste	0.14
affairiste	0.14
affairé	2.64
affairé	1.01
affaissement	1.55
affaisser	11.22
affalement	0.14
affaler	14.05
affamer	3.72
affamé	6.08
affamé	3.58
affect	0.00
affectation	5.27
affecter	25.34
affectif	2.91
affection	31.22
affectionner	4.12
affectionné	0.41
affectivement	0.20
affectivité	0.41
affectueusement	3.38
affectueux	14.59
affecté	2.84
affermir	5.61
affermissement	0.14
affichage	1.49
affichant	0.07
affiche	19.86
afficher	19.26
affichette	1.35
afficheur	0.27
affichiste	0.20
affidavit	0.00
affidé	0.27
affiler	0.07
affiliation	0.14
affilier	0.74
affilié	0.27
affilié	0.41
affilé	4.19
affin	0.00
affinage	0.07
affinement	0.20
affiner	3.38
affinité	4.46
affiné	0.27
affirmatif	1.89
affirmation	6.42
affirmative	0.61
affirmativement	0.74
affirmer	63.51
affixé	0.07
affleurant	0.14
affleurement	0.88
affleurer	6.01
affliction	2.77
affligeant	1.62
affliger	5.95
affligé	1.49
affluence	2.64
affluent	0.41
affluent	0.95
affluer	7.50
afflux	2.30
affolant	2.57
affolement	5.34
affoler	20.54
affolé	11.49
affouage	0.14
affouillement	0.14
affranchi	1.82
affranchi	1.49
affranchir	11.42
affranchissement	0.47
affreusement	5.61
affreux	39.46
affreux	3.78
affriander	0.27
affriolant	0.20
affrioler	0.27
affront	3.85
affrontement	4.05
affronter	22.43
affrètement	0.00
affréter	0.47
affréteur	0.07
affublement	0.14
affubler	6.55
affublé	0.47
affurer	1.49
afférent	0.34
afféterie	0.41
affût	11.35
affûtage	0.14
affûter	3.65
affûteur	0.07
afghan	0.68
afghan	0.20
aficionado	0.68
afin	0.95
afin d	0.07
afin de	43.18
afin qu	0.00
afin que	14.93
africain	12.09
africain	4.05
africanisme	0.00
afrikaans	0.00
afrikaans	0.00
afrikaner	0.00
afro	0.27
afro-américain	0.00
afro-américain	0.00
afro-asiatique	0.00
afro-cubain	0.07
afro-cubain	0.07
after-shave	0.68
aga	6.01
agace	0.41
agacement	7.57
agacer	30.68
agacerie	0.54
agaceur	0.07
agami	0.07
agapanthe	0.07
agape	0.68
agar-agar	0.07
agate	1.22
agathe	0.14
agave	0.47
agaçant	4.19
age	0.47
agence	17.77
agencement	1.89
agencer	2.91
agenda	6.08
agenouillement	0.27
agenouiller	23.31
agenouillé	2.36
agent	39.26
aggiornamento	0.07
agglo	0.07
agglomérat	0.47
agglomération	2.16
agglomérer	1.62
aggloméré	0.47
aggloméré	0.34
agglutinatif	0.07
agglutination	0.14
agglutinement	0.07
agglutiner	6.55
agglutinogène	0.07
aggravation	0.74
aggrave	0.00
aggraver	10.54
aggravée	0.07
agile	5.00
agilité	3.38
agioteur	0.07
agir	219.73
agissant	0.68
agissement	1.08
agit-prop	0.00
agitant	0.14
agitateur	1.89
agitation	21.35
agitato	0.07
agiter	89.19
agité	9.86
agité	2.64
aglagla	0.07
agnat	0.07
agneau	8.78
agnelage	0.07
agnelet	0.07
agneline	0.07
agnosie	0.00
agnostique	0.47
agnostique	0.14
agnus dei	0.14
agnus-dei	0.07
agonie	14.59
agonique	0.00
agonique	0.14
agonir	0.95
agonisant	2.30
agonisant	3.38
agoniser	5.34
agoniste	0.07
agora	0.68
agoraphobe	0.00
agoraphobe	0.07
agoraphobie	0.07
agouti	0.41
agoyate	0.41
agrafage	0.00
agrafe	2.43
agrafer	2.36
agrafeur	0.00
agrafeuse	0.14
agrainage	0.07
agraire	0.54
agrandir	16.15
agrandissement	1.69
agrandisseur	0.27
agranulocytose	0.00
agrarien	0.14
agresser	2.97
agresseur	0.27
agresseur	3.78
agressif	15.88
agression	6.15
agressivement	1.01
agressivité	5.00
agreste	0.81
agricole	7.36
agriculteur	1.76
agriculture	2.77
agrippant	0.14
agrippement	0.07
agripper	17.57
agro	0.20
agro-alimentaire	0.00
agroalimentaire	0.00
agroalimentaire	0.00
agronome	0.34
agronomie	0.07
agronomique	0.07
agrume	0.54
agrès	1.01
agréable	36.01
agréable	1.62
agréablement	3.65
agréer	5.07
agrég	0.00
agrégat	0.61
agrégatif	0.14
agrégatif	0.47
agrégation	2.97
agrégative	0.07
agréger	0.81
agrégé	0.20
agrégé	1.15
agrément	7.16
agrémenter	5.68
agrémenté	0.14
agréé	0.68
agréé	0.07
aguardiente	0.00
aguerri	1.01
aguerrir	0.81
aguichage	0.00
aguichant	0.54
aguiche	0.00
aguicher	0.88
aguicheur	0.47
ah	297.16
ahan	0.54
ahanant	0.41
ahanement	0.34
ahaner	2.16
ahi	0.27
ahou	0.00
ahuri	7.70
ahuri	3.04
ahurir	3.38
ahurissant	2.16
ahurissement	1.82
aicher	0.00
aide	55.54
aide-bourreau	0.14
aide-comptable	0.07
aide-cuisinier	0.14
aide-infirmier	0.00
aide-jardinier	0.07
aide-major	0.14
aide-mémoire	0.41
aide-ménagère	0.27
aide-pharmacien	0.07
aide-soignant	0.27
aider	158.65
aigle	11.35
aiglefin	0.07
aiglon	0.95
aigre	10.47
aigre	1.22
aigre-doux	1.28
aigrelet	3.58
aigrement	1.42
aigrette	2.64
aigreur	4.32
aigri	1.08
aigri	0.54
aigrir	2.09
aigu	32.09
aigu	3.18
aiguade	0.14
aiguail	0.27
aigue-marine	0.81
aiguillage	2.16
aiguillat	0.00
aiguille	34.19
aiguiller	3.24
aiguilleur	0.41
