a	81.36
a capella	0.04
a cappella	0.04
a contrario	0.00
a fortiori	0.04
a giorno	0.00
a l'instar	0.26
a posteriori	0.05
a priori	1.04
a priori	0.41
aa	0.01
ab absurdo	0.00
ab initio	0.01
ab ovo	0.00
abaca	0.01
abaissant	0.04
abaisse	0.02
abaisse-langue	0.04
abaissement	0.31
abaisser	4.93
abaissé	0.07
abalone	0.01
abandon	4.84
abandonner	110.87
abandonnique	0.00
abandonné	8.27
abaque	0.00
abasourdi	0.40
abasourdir	0.55
abasourdissant	0.01
abat	0.65
abat-jour	0.51
abat-son	0.00
abatage	0.00
abatis	0.00
abattage	0.65
abattant	0.07
abattement	0.18
abatteur	0.14
abattis	0.14
abattoir	3.16
abattre	43.47
abattu	2.51
abattu	0.53
abbatial	0.00
abbatiale	0.00
abbaye	3.94
abbé	4.46
abc	0.04
abcès	1.79
abdication	0.05
abdiquer	0.47
abdomen	2.76
abdominal	2.56
abdos	0.86
abducteur	0.01
abduction	0.05
abeille	9.11
aber	0.25
aberrant	0.84
aberration	1.16
abhorrer	0.27
abhorré	0.01
abject	2.19
abjectement	0.10
abjection	0.51
abjuration	0.00
abjurer	1.53
abkhaze	0.00
ablatif	0.00
ablation	0.45
able	0.68
ablette	0.14
ablution	0.48
abnégation	0.91
aboi	0.78
aboiement	1.79
aboli	0.08
abolir	3.08
abolition	0.45
abolitionniste	0.03
abolitionniste	0.17
abominable	5.39
abominablement	0.01
abomination	1.94
abominer	0.00
abondamment	0.30
abondance	2.76
abondant	1.36
abonder	1.13
abonnement	4.82
abonner	1.10
abonné	0.47
abonné	0.87
abord	2.22
abordable	0.47
abordage	1.22
aborder	12.55
abordé	0.15
aborigène	0.17
aborigène	0.60
abornement	0.00
abortif	0.04
aboucher	0.00
abouler	1.80
aboulie	0.00
aboulique	0.00
about	5.94
abouti	0.11
aboutir	5.34
aboutissant	0.09
aboutissement	0.50
aboyant	0.01
aboyer	7.43
aboyeur	0.03
aboyeur	0.06
abracadabra	0.98
abracadabrant	0.26
abrasif	0.09
abrasif	0.15
abrasion	0.19
abraxas	0.29
abreuvage	0.00
abreuver	1.13
abreuvoir	0.35
abreuvé	0.01
abri	25.90
abri-refuge	0.00
abribus	0.04
abricot	0.08
abricot	1.24
abricotier	0.02
abricotine	0.00
abritant	0.01
abriter	7.92
abrité	0.17
abrogation	0.16
abroger	0.71
abrogé	0.01
abrupt	1.36
abrupt	0.00
abruptement	0.07
abruti	6.13
abruti	25.64
abrutir	2.56
abrutissant	0.19
abrutissement	0.13
abrutisseur	0.00
abréger	4.21
abrégé	0.20
abrégé	0.12
abréviatif	0.00
abréviation	0.46
abscisse	0.02
abscission	0.00
abscons	0.12
absence	22.86
absent	14.91
absent	1.96
absenter	6.14
absentéisme	0.14
absentéiste	0.01
absentéiste	0.01
abside	0.00
absidiole	0.00
absinthe	1.28
absolu	17.25
absolu	0.78
absolument	89.79
absolution	1.06
absolutisme	0.12
absolvant	0.00
absorbant	0.14
absorbant	0.01
absorber	6.66
absorbeur	0.03
absorbé	0.28
absorption	0.58
absoudre	2.66
absous	0.02
absoute	0.00
absoute	0.00
abstenir	4.52
abstention	0.14
abstentionniste	0.01
abstinence	1.62
abstinent	0.11
abstraction	0.68
abstraire	0.27
abstrait	1.62
abstrait	0.49
abstraitement	0.00
abstrus	0.00
absurde	23.59
absurde	2.69
absurdement	0.14
absurdité	2.34
abus	4.75
abuser	20.00
abuseur	0.04
abusif	0.85
abusivement	0.16
abusé	0.20
abyme	0.04
abyssal	0.11
abysse	1.07
abyssin	0.00
abyssin	0.14
abyssinien	0.10
abâtardir	0.14
abécédaire	0.18
abêti	0.00
abêtir	0.01
abêtissement	0.00
abîme	6.01
abîmer	15.83
acabit	0.17
acacia	0.26
acadien	0.01
acadien	0.16
acadienne	0.03
académicien	0.35
académie	10.03
académique	1.41
académiquement	0.01
académisme	0.00
acagnarder	0.00
acajou	0.17
acajou	0.52
acanthe	0.04
acariâtre	0.14
accablant	1.41
accablement	0.23
accabler	5.55
accablé	0.53
accalmie	0.50
accaparant	0.02
accaparer	0.97
accapareur	0.02
accastillage	0.04
accelerando	0.00
accent	14.56
accenteur	0.01
accentuation	0.06
accentuer	1.28
accentué	0.02
acceptable	3.96
acceptant	0.04
acceptation	1.24
accepter	165.84
acception	0.15
accessibilité	0.03
accessible	2.06
accession	0.16
accessit	0.02
accessoire	0.74
accessoire	3.87
accessoirement	0.17
accessoiriser	0.07
accessoiriste	0.62
accident	108.21
accidentel	2.78
accidentellement	3.39
accidenter	0.19
accidenté	0.30
accidenté	0.57
acclamation	2.84
acclamer	1.75
acclimatation	0.14
acclimatement	0.00
acclimater	0.52
accointance	0.14
accolade	0.96
accolement	0.00
accoler	0.32
accommodant	0.41
accommodation	0.04
accommodement	0.11
accommoder	2.25
accompagnant	0.01
accompagnateur	0.80
accompagnement	0.65
accompagner	90.56
accompagné	1.58
accompli	4.79
accompli	0.02
accomplir	25.00
accomplissement	1.50
accord	766.20
accordailles	0.00
accordement	0.00
accorder	52.27
accordeur	0.25
accordo	0.01
accordé	2.58
accordéon	3.24
accordéoniste	0.26
accore	0.00
accort	0.03
accostage	0.47
accostant	0.00
accoster	1.86
accotement	0.01
accoter	0.00
accouchant	0.12
accouchement	5.96
accoucher	16.49
accoucheur	0.19
accouchée	0.39
accouder	0.34
accoudoir	0.46
accoudé	0.00
accouplement	0.78
accoupler	2.13
accourir	5.17
accoutrement	1.29
accoutré	0.02
accoutumance	0.30
accoutumer	0.89
accoutumé	0.26
accro	6.81
accro	2.56
accroc	1.90
accrochage	2.06
accrochant	0.00
accroche	0.65
