Cognitive Complextiy	Dependency Locality Theory: Total IC at Finite Verb (higher verb weight)
Cognitive Complextiy	Dependency Locality Theory: Maximal IC at Finite Verb (higher verb weight)
Cognitive Complextiy	Dependency Locality Theory: Total IC at Finite Verb (original cost configuration)
Cognitive Complextiy	Dependency Locality Theory: Maximal IC at Finite Verb (original cost configuration)
Cognitive Complextiy	Dependency Locality Theory: Total IC at Finite Verb (less coordination weight + higher verb weight)
Cognitive Complextiy	Dependency Locality Theory: Total IC at Finite Verb (no modifier weight)
Cognitive Complextiy	Dependency Locality Theory: Maximal IC at Finite Verb (less coordination weight + higher verb weight)
Cognitive Complextiy	Dependency Locality Theory: Maximal IC at Finite Verb (no modifier weight)
Cognitive Complextiy	Dependency Locality Theory: Total IC at Finite Verb (less coordination weight)
Cognitive Complextiy	Dependency Locality Theory: Maximal IC at Finite Verb (less coordination weight)
Cognitive Complextiy	Dependency Locality Theory: Maximal IC at Finite Verb (no modifier weight + less coordination weight)
Cognitive Complextiy	Dependency Locality Theory: Total IC at Finite Verb (no modifier weight + less coordination weight + added verb weight)
Cognitive Complextiy	Dependency Locality Theory: Maximal IC at Finite Verb (no modifier weight + less coordination weight + added verb weight)
Cognitive Complextiy	Dependency Locality Theory: Total IC at Finite Verb (no modifier weight + less coordination weight)
Cognitive Complextiy	Dependency Locality Theory: High Adjacent IC at Finite Verb (less coordination weight)
Cognitive Complextiy	Dependency Locality Theory: High Adjacent IC at Finite Verb (no modifier weight + less coordination weight)
Cognitive Complextiy	Dependency Locality Theory: High Adjacent IC at Finite Verb (no modifier weight + less coordination weight + added verb weight)
Cognitive Complextiy	Dependency Locality Theory: High Adjacent IC at Finite Verb (less coordination weight + added verb weight)
Cognitive Complextiy	Dependency Locality Theory: High Adjacent IC at Finite Verb (no modifier weight)
Cognitive Complextiy	Dependency Locality Theory: High Adjacent IC at Finite Verb (original cost configuration)
Cognitive Complextiy	Dependency Locality Theory: High Adjacent IC at Finite Verb (higher verb weight)
Lexical Complexity	Lexical Variation Feature: Squared Verb Variation 1
Lexical Complexity	Lexical Variation Feature: Lexical
Lexical Complexity	Lexical Variation Feature: Corrected Verb Variation 1
Lexical Complexity	Lexical Variation Feature: Verb Variation 1
Lexical Complexity	Lexical Variation Feature: Verb
Lexical Complexity	Lexical Variation Feature: Noun
Lexical Complexity	Lexical Variation Feature: Modifier
Lexical Complexity	Lexical Variation Feature: Adverb
Lexical Complexity	Lexical Variation Feature: Adjective
Syntactic Complexity	Mean Sentence Length in Tokens
Syntactic Complexity	Mean Sentence Length in Syllables
Syntactic Complexity	Mean Sentence Length in Letters
Lexical Complexity	Mean Token Length in Syllables
Lexical Complexity	Mean Token Length in Letters
General Text Length	Number Of Letters
General Text Length	Number of Sentences
General Text Length	Number of syllables
Syntactic Complexity	Number of Syntactic Constituents: Double embedded dependent Clauses
Syntactic Complexity	Number of Syntactic Constituents: T-units
Syntactic Complexity	Number of Syntactic Constituents: Sentences
Syntactic Complexity	Number of Syntactic Constituents: Clauses
Syntactic Complexity	Number of Syntactic Constituents: Words before main verb
Syntactic Complexity	Number of Syntactic Constituents: Verb Phrase
Syntactic Complexity	Number of Syntactic Constituents: Verb Cluster
Syntactic Complexity	Number of Syntactic Constituents: Relative Clauses
Syntactic Complexity	Number of Syntactic Constituents: Prenominal Noun Modifier
Syntactic Complexity	Number of Syntactic Constituents: Complex Noun Phrase
